"aq_id","CC","CountryName","countries","code","name","IGRAC.region","Comment"
308,"BDI","Burundi","Burundi; Democratic Republic of the Congo; United Republic of Tanzania","AF026","Tanganyika","Africa","Original IGRAC entry"
308,"COD","Congo, Dem Rep of the","Burundi; Democratic Republic of the Congo; United Republic of Tanzania","AF026","Tanganyika","Africa","Added to IGRAC"
308,"TZA","Tanzania","Burundi; Democratic Republic of the Congo; United Republic of Tanzania","AF026","Tanganyika","Africa","Original IGRAC entry"
263,"AGO","Angola","Angola; Democratic Republic of the Congo","AF027","Aquífero da Dolomite Pré-cambriana do baixo Congo / Aquifère dolomitique précambrien","Africa","Original IGRAC entry"
263,"COD","Congo, Dem Rep of the","Angola; Democratic Republic of the Congo","AF027","Aquífero da Dolomite Pré-cambriana do baixo Congo / Aquifère dolomitique précambrien","Africa","Added to IGRAC"
263,"COG","Congo, Rep of the","Angola; Democratic Republic of the Congo","AF027","Aquífero da Dolomite Pré-cambriana do baixo Congo / Aquifère dolomitique précambrien","Africa","Added to IGRAC"
309,"AGO","Angola","Congo; Democratic Republic of the Congo","AF029","Cuvette","Africa","Discarded: BorderResolution"
309,"CMR","Cameroon","Congo; Democratic Republic of the Congo","AF029","Cuvette","Africa","Discarded: BorderResolution"
309,"COD","Congo, Dem Rep of the","Congo; Democratic Republic of the Congo","AF029","Cuvette","Africa","Added to IGRAC"
309,"COG","Congo, Rep of the","Congo; Democratic Republic of the Congo","AF029","Cuvette","Africa","Added to IGRAC"
271,"KEN","Kenya","Kenya; United Republic of Tanzania","AF031","Coastal Sedimentary Basin / Karoo Sedimetary Aquifer","Africa","Original IGRAC entry"
271,"TZA","Tanzania","Kenya; United Republic of Tanzania","AF031","Coastal Sedimentary Basin / Karoo Sedimetary Aquifer","Africa","Original IGRAC entry"
270,"KEN","Kenya","Kenya; United Republic of Tanzania","AF032","Kilimanjaro Aquifer","Africa","Original IGRAC entry"
270,"TZA","Tanzania","Kenya; United Republic of Tanzania","AF032","Kilimanjaro Aquifer","Africa","Original IGRAC entry"
261,"COG","Congo, Rep of the","Congo; Gabon","AF033","Aquifère du Bassin de l’Ogooué","Africa","Added to IGRAC"
261,"GAB","Gabon","Congo; Gabon","AF033","Aquifère du Bassin de l’Ogooué","Africa","Original IGRAC entry"
262,"COG","Congo, Rep of the","Congo; Gabon","AF034","Aquifère des plateaux","Africa","Added to IGRAC"
262,"GAB","Gabon","Congo; Gabon","AF034","Aquifère des plateaux","Africa","Original IGRAC entry"
41,"BDI","Burundi","Rwanda; Uganda; United Republic of Tanzania","AF036","Kagera Aquifer","Africa","Added to IGRAC"
41,"RWA","Rwanda","Rwanda; Uganda; United Republic of Tanzania","AF036","Kagera Aquifer","Africa","Original IGRAC entry"
41,"TZA","Tanzania","Rwanda; Uganda; United Republic of Tanzania","AF036","Kagera Aquifer","Africa","Original IGRAC entry"
