"class","mean","se"
"BL",0.0346132705112465,0.0105890630674869
"DA",3.38610628225275,1.8520134107228
"UB",0.0207486760433058,0.00744254716368518
"IU1",0.0249978036058999,0.00975343923683748
"IU0",0.000892235832467704,0.000848426512137989
