system:index,Aquifer,Broader,CS_max,CS_min,GWIrKHaKm2,RDS_main,RDS_mainDist,RDS_tot,STS,area_km2,compact,constant,crpkHaKm2,elev,elong,lat_c,lon_c,m_per_year,ntl,perim_km,pet_mm,pop,prec_mm,slope,urbkHaKm2,.geo
00000000000000000000,Milk River,-,7739.98906613541,1946.0299403418621,6.009803004327399E-6,0.22307435744715748,16.648365658282973,86.1892050808843,1.509312012680035,22913.422325709344,0.4294960916826593,1.0,0.03546976202442362,959.1238960016719,1.691635817575812,49.01395487847147,-111.18027788324488,-0.00818654,0.49055416071356056,818.7858030653967,761.9287068713543,0.11583648471966403,29.03467133172142,0.7406601989610279,3.8507406020983845E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,Paskapoo-Scollard,-,5866.290837923204,1125.1951236546752,6.345448018143909E-9,7.087308209187665,79.41317233099306,76.31103026838198,1.185643409769816,65500.24548333571,0.16113706674027084,1.0,0.011627201063529305,1007.453765833,1.41629678989607,53.05119479173809,-115.43220155024687,-0.01113134,1.7001920482852289,2260.1052753588706,522.5775050049814,1.502997086580938,44.36350949443514,1.2024423257217736,6.560023633700331E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,Denver Basin,-,7749.159295516513,3107.754829707767,0.0014848340534108278,73.23414963884665,7.929635774117529,1315.7997593089297,1.2374648130273456,18087.10965915841,0.7682594558050794,1.0,0.017407727270309543,1742.1275747755496,1.2242945278762611,39.54128768362122,-104.4729680946289,0.0148075,4.866315015206443,543.9206669418647,1062.2358221413594,11.404816916474084,31.40351767383549,0.9580062162898509,0.007928188821849053,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,Maricopa-Stanfield Basin,-,3224.918939111958,119.64513945301897,0.017151793475426023,51.41563130826008,0.7419908153439456,532.3434437564695,2.0772857806552576,1208.617891995082,0.6475516075347907,1.0,0.02377155156351551,403.2418921452223,1.3847623514630607,32.94175530765419,-112.01825081555792,0.07316,1.4084103391324585,153.14832408557916,1571.6852886691215,3.9140168401004822,15.64132766772888,0.4430449503855867,0.001968821698428147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,San Pedro Basin,-,4090.404469616526,1477.2944615938645,2.4385207877748738E-4,11.072553081536395,4.453455406293469,293.18374891593083,2.225714989220121,6716.579095110646,0.3427722490547173,1.0,2.4966866563765365E-4,1445.5921005797754,1.857253495296467,31.55978059432838,-110.18592202350358,0.00982133,0.7268845671058662,496.22217924919863,1466.4811295245838,1.295622701841829,36.84951680801149,2.088146378189196,9.375421098970615E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,Willcox-Douglas Basin,-,4091.4439090730693,1066.2916830484319,0.0013517981629495314,10.117776727633709,31.584835836166196,190.39007061188929,2.769952047436973,9492.474761453,0.2757028001957081,1.0,0.0024238667511528697,1439.6834557186469,1.62086565290643,31.943112389296587,-109.75677613746986,0.34175667,0.5331792393684425,657.770010628178,1476.9889096137074,0.8834734022849766,33.67578439449744,2.249111316334716,3.5699095327799426E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,Yuma Basin,-,-0.2611270686202171,-0.2611270686202171,0.006387235486345043,32.16518092427231,6.375051686337031,1044.7805606167835,1.853319956632383,3508.757299218257,0.3965458919644022,1.0,0.025339760462656232,54.55757220406874,1.1112023923302774,32.450419591606114,-114.67664822995127,0.044196,3.356781158205344,333.453184249699,1530.1942414962298,8.126541719480759,6.041727441333453,0.23391212179950235,0.005122629231383585,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,Ozark Plateaus Aquifer System,-,7985.799681272651,3820.759236432975,3.856391423864574E-4,21.557940458198253,2.4554284968229423,401.57292541041693,2.462232112027027,172541.04045904343,0.5979721659302928,1.0,0.012860883534173794,282.2912183989232,1.2970948719411823,37.15660904517689,-92.7765999132878,-0.0626364,1.1785762108026026,1904.1916382083407,975.1809048988272,2.0415837556021286,98.21944888642575,0.9541727265874397,0.0012887270317733415,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,Salinas Valley,-,6419.311367970457,2050.067993908831,0.02041289623752914,62.694541604390146,1.564450086945366,654.3010456586933,2.6366866171682912,4317.3311494983145,0.09242784584230235,1.0,0.012776111305144187,292.9563334221166,1.222698545633693,35.958829652820185,-120.83538127683043,0.04662412,1.4039729724506187,766.1453975920859,1141.801873121908,5.745560269153258,30.44724032624611,1.719492174093137,0.0034979435188706187,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,Coachella Valley,-,4193.003446633333,1165.3794622778037,0.00721561298946784,89.20055131644013,0.5302759621822252,1909.0517973024637,2.6000420188614,1797.1768388256992,0.1293464611303573,1.0,0.008737554217197569,184.75319352402417,1.6115477872767783,33.7357277531815,-116.31311047454604,0.011049,7.6220813747207234,417.85255587387206,1684.7894707956088,17.479466358937326,9.76751141262676,2.1765312018035234,0.013639183534707725,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,Black Hills Uplift,-,7426.622871516792,2706.548260361362,6.414247123135065E-5,19.766845140277287,18.937006248921833,157.66063900474015,1.8826766147165066,18915.032878059294,0.6491655242336603,1.0,0.0018186076477817452,1355.1115112512518,1.082144144748696,44.19150166699871,-103.98295390078906,-0.08319235,0.671440732910118,605.1050237822294,852.6557543166149,0.5510817582593,42.26488890927868,1.931277783587576,3.044970931255896E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,Roswell Basin,-,4417.077177246872,1042.7944557210508,0.006300249996987195,0.0,21.009481331151797,209.3710899730381,3.512699301414361,6542.583314053031,0.5379961394096447,1.0,0.0058698636995012385,1154.7224288745392,2.5121001164350503,33.058941879408,-104.56914715264512,0.18702,1.3463862835468963,390.9218841020868,1597.6864839557536,0.8139726358413562,22.629807214357562,0.5942789202427737,7.461175593888023E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,Estancia Basin,-,4409.6662979275725,1178.445463540136,0.003912518464918139,21.46438970275124,10.12473209085766,114.21273234098526,2.1824798908867487,4091.9226175923304,0.4141197430260553,1.0,0.0026348365139920865,1937.7476803220588,1.3424214749300325,34.75763590060232,-106.02059541451935,0.39844125,0.4238098612031766,352.3754716456552,1236.734737247665,0.37810701065876473,24.36543959733175,0.6869286214389387,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
