system:index,Area,CC,CR,CR3,CntryNm,GW,GW3,IR,IR3,Region,UR,aq_id,code,countrs,name,.geo
000000000000000001e9,2.1288948863063723E8,BLZ,0.0,0.0,Belize,0.0,0.0,0.0,0.0,AMER,0.0,364,C010,Belize; Guatemala,Sarst�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ea,4.034942099401962E8,GTM,0.0,0.0,Guatemala,0.0,0.0,0.0,0.0,AMER,0.0,364,C010,Belize; Guatemala,Sarst�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb,2.5142528361715674E8,BLZ,0.0,0.0,Belize,0.0,0.0,0.0,0.0,AMER,0.0,363,C011,Belize; Guatemala,Temash,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ec,4.312651468039214E7,GTM,0.0,0.0,Guatemala,0.0,0.0,0.0,0.0,AMER,0.0,363,C011,Belize; Guatemala,Temash,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ed,1.487961006682353E9,GTM,0.0030389514594039396,0.0,Guatemala,6.237991280640002E-6,0.0,1.9066029992331402E-4,0.0,AMER,0.0,57,C012,Guatemala; Honduras,Delta del R�o Motagua,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ee,1.7323519689705882E7,HND,3.0377351501727756E-5,0.0,Honduras,0.0,0.0,0.0,0.0,AMER,0.0,57,C012,Guatemala; Honduras,Delta del R�o Motagua,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef,3.7041876994215685E8,GTM,0.02695379984788493,0.02695379984788493,Guatemala,0.0,0.0,0.0,0.0,AMER,0.2287443092401961,217,C013,Guatemala; Honduras,Chiquimula - Cop�n Ruinas,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0,1.312957762083333E7,HND,0.0,0.0,Honduras,0.0,0.0,0.0,0.0,AMER,0.038436777500000005,217,C013,Guatemala; Honduras,Chiquimula - Cop�n Ruinas,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1,6.453641063431371E7,HND,0.0015075191902806735,0.0015075191902806735,Honduras,0.0,0.0,0.0,0.0,AMER,0.5463133732843137,357,C014,El Salvador; Honduras,Ocotepeque-Citala,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2,1.0691973085784312E7,SLV,2.2421861249689527E-5,2.2421861249689527E-5,El Salvador,0.0,0.0,0.0,0.0,AMER,0.0,357,C014,El Salvador; Honduras,Ocotepeque-Citala,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f3,7.538086989649512E8,GTM,0.0827657645847909,0.0827657645847909,Guatemala,0.0024771604908209823,0.0,0.009787685742873498,0.0,AMER,0.08655135406862746,294,C015,El Salvador; Guatemala,Ostua-Metap�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f4,6.441656965578432E8,SLV,0.042784508246252725,0.042784508246252725,El Salvador,0.0,0.0,0.0,0.0,AMER,1.2464651184068625,294,C015,El Salvador; Guatemala,Ostua-Metap�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f5,7.281465163242646E8,GTM,0.07935940635727039,0.05951885974935491,Guatemala,0.0,0.0,0.0,0.0,AMER,2.586093087843137,293,C016,El Salvador; Guatemala,R�o Paz,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f6,6.129227387749999E8,SLV,0.34814849960710526,0.3174759919101333,El Salvador,0.010976580485046574,0.0,0.016118393819036667,0.0,AMER,6.148115330735295,293,C016,El Salvador; Guatemala,R�o Paz,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f7,5.2253473042941177E8,HND,0.19331399680061595,0.17660343261726674,Honduras,3.3434824129562887E-4,0.0,4.7764198194077983E-4,0.0,AMER,0.5808271500000001,215,C017,Honduras; Nicaragua,Estero Real-R�o Negro,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f8,7.710749181855392E8,NIC,0.2909137481420834,0.11134634503987867,Nicaragua,2.6040359594022954E-4,0.0,3.720059522798507E-4,0.0,AMER,0.5810024812500001,215,C017,Honduras; Nicaragua,Estero Real-R�o Negro,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f9,1.3615384949779406E8,CRI,1.8083145490882467E-4,0.0,Costa Rica,0.0,0.0,0.0,0.0,AMER,0.24827211999999999,219,C018,Costa Rica; Panama,Sixaola / Salinas Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fa,2.5171390959436274E8,PAN,0.0010856361821157115,0.0,Panama,0.0,0.0,0.0,0.0,AMER,1.1230219388970588,219,C018,Costa Rica; Panama,Sixaola / Salinas Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fb,3.253749340115196E8,DOM,0.20206133213943075,0.1946016599347402,Dominican Republic,0.004340314647055522,0.004340314647055522,0.019728779926818235,0.019728779926818235,AMER,1.1573157491421568,209,CB001,Dominican Republic; Haiti,Plaine du Nord?Massacre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fc,1.933994579845589E8,HTI,0.05558061166570196,0.05531320570928159,Haiti,0.0026125723543485475,0.0026125723543485475,0.011875369151280797,0.011875369151280797,AMER,1.9769984061764705,209,CB001,Dominican Republic; Haiti,Plaine du Nord?Massacre,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fd,1.1244447672928922E9,DOM,0.10166680441207959,0.10059522444245177,Dominican Republic,0.0038017869181793448,0.0,0.01728085720465973,0.0,AMER,1.3599226236029418,212,CB002,Dominican Republic; Haiti,Artibonito,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001fe,1.3905062115700977E9,HTI,0.10357148677873786,0.09609841191562374,Haiti,2.2086169128717967E-5,0.0,1.0039167785780893E-4,0.0,AMER,9.470601241911766,212,CB002,Dominican Republic; Haiti,Artibonito,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ff,6.979232889691178E8,DOM,0.13331022885836696,0.09843256286881845,Dominican Republic,0.0018820906717299133,0.0,0.008554975459919078,0.0,AMER,0.2829919,210,CB003,Dominican Republic; Haiti,Los Lagos,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000200,8.205690542230389E7,HTI,0.0014426086185134433,0.001185223093839984,Haiti,0.0,0.0,0.0,0.0,AMER,0.036269974926470584,210,CB003,Dominican Republic; Haiti,Los Lagos,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000201,1.5632810120833337E8,DOM,0.0013426056486657287,9.859362477486193E-4,Dominican Republic,1.97035767241596E-7,0.0,1.028597478679249E-6,0.0,AMER,0.048582668946078426,211,CB004,Dominican Republic; Haiti,Pedernales,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000202,1.3240073656372547E7,HTI,0.0017648169819409647,6.587187738132598E-4,Haiti,0.0,0.0,0.0,0.0,AMER,0.0,211,CB004,Dominican Republic; Haiti,Pedernales,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000306,1.715525316637255E8,CAN,0.37234224670085775,0.01553152514708534,Canada,0.05423084320921,0.0,0.09597740214697813,0.0,AMER,3.4967066699509814,397,N001,Canada; United States of America,Abbotsford-Sumas,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000307,2.0486879114779374E8,USA,0.6644750977214159,0.44872318198411276,United States,0.06223864396556552,0.0,0.08514179396703764,0.0,AMER,1.2896862601470593,397,N001,Canada; United States of America,Abbotsford-Sumas,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000308,2.5804023721838236E8,CAN,0.010805689423358791,0.006522049575415645,Canada,1.3375126544832547E-5,0.0,7.928514622214024E-4,0.0,AMER,0.0,406,N002,Canada; United States of America,Okanagan-Osoyoos,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000309,1.99059094272549E8,USA,0.019714489631937684,0.0,United States,0.0010135530590606014,0.0,0.0037813972698158243,0.0,AMER,0.0,406,N002,Canada; United States of America,Okanagan-Osoyoos,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030a,4.1703742323039226E7,CAN,0.022315840597932103,0.0031551003352729085,Canada,0.0,0.0,0.0,0.0,AMER,0.0,398,N003,Canada; United States of America,Grand Forks,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030b,6654874.797303921,USA,0.0027028960035732773,0.0,United States,0.0,0.0,0.0,0.0,AMER,0.0,398,N003,Canada; United States of America,Grand Forks,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030c,1.4975888059669116E9,CAN,3.5796455131460054,3.5791961395473453,Canada,7.841509043432135E-5,0.0,0.0024678202750324316,0.0,AMER,0.0,67,N004,Canada; United States of America,Eastend-Ravenscrag (Poplar),"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030d,1.4225829635017161E9,USA,2.5662616542619046,2.547813485621391,United States,8.105604661725567E-4,0.0,0.02550934785286841,0.0,AMER,0.0,67,N004,Canada; United States of America,Eastend-Ravenscrag (Poplar),"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030e,5.400195037627451E8,CAN,1.8091138362216435,1.8091138362216435,Canada,0.0,0.0,0.0,0.0,AMER,0.0,68,N005,Canada; United States of America,Estevan Valley Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000030f,3.2825618047867703E8,USA,1.6827983586630442,1.6827983586630442,United States,0.0,0.0,0.0,0.0,AMER,0.0,68,N005,Canada; United States of America,Estevan Valley Aquifer System,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000310,6.15539642077696E8,CAN,1.4287003294763236,0.0,Canada,0.008807904391376686,0.0,0.017615101119163045,0.0,AMER,0.0,71,N007,Canada; United States of America,Ch�teauguay,"{""type"":""MultiPoint"",""coordinates"":[]}"
