system:index,Area,CR,CR3,GID_0,GW,GW3,IR,IR3,InPoly_FID,MaxSimpTol,MinSimpTol,NAME_0,Shape_Area,Shape_Leng,SimPgnFlag,UR,area,vertex,.geo
00000000000000000035,1.3950278981225485E8,0.0,0.0,CXR,0.0,0.0,0.0,0.0,55,8.9932205E-4,8.9932205E-4,Christmas Island,0.01152543101,0.65832632839,0,0.0,0.0,169,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,2.807077492696078E8,0.0017021915715998846,0.0,CYM,0.0,0.0,0.0,0.0,56,8.9932205E-4,8.9932205E-4,Cayman Islands,0.02413060916,2.02638837203,0,4.530542974411764,0.0,624,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,7.539705998634803E8,1.0869115672457782E-4,0.0,DMA,0.0,0.0,0.0,0.0,61,8.9932205E-4,8.9932205E-4,Dominica,0.06349957885,1.48122864271,0,1.0315304765686273,0.0,544,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,2.6731826657990244E11,0.004606406622966252,0.0,ESH,0.0,0.0,0.0,0.0,68,8.9932205E-4,8.9932205E-4,Western Sahara,23.8579486287,30.4434022977,0,9.824715583382353,0.0,3457,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,1.8977937088272797E10,2.6590967650013053,0.0,FJI,0.0,0.0,0.03057701290773054,0.0,73,8.9932205E-4,8.9932205E-4,Fiji,1.61269220796,42.7192731596,0,35.972649168137245,0.0,13748,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,1.238846577537966E10,0.0,0.0,FLK,0.0,0.0,0.0,0.0,74,8.9932205E-4,8.9932205E-4,Falkland Islands,1.61317895413,82.6062844942,0,0.0,0.0,28519,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,1.4379212797496321E9,0.0,0.0,FRO,0.0,0.0,0.0,0.0,76,8.9932205E-4,8.9932205E-4,Faroe Islands,0.24706148083,13.3387800113,0,0.8135641519240194,0.0,3670,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,7.695640981980389E8,0.0,0.0,FSM,0.0,0.0,0.0,0.0,77,8.9932205E-4,8.9932205E-4,Micronesia,0.0631472283,11.8411917623,0,4.4620693151715685,0.0,4266,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,8.805952633970587E7,0.028084607188106448,0.0,GGY,0.0,0.0,0.0,0.0,81,8.9932205E-4,8.9932205E-4,Guernsey,0.01096364189,1.61729892756,0,4.6845445246323525,0.0,648,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,7222000.006617648,6.138506220815603E-5,0.0,GIB,0.0,0.0,0.0,0.0,83,8.9932205E-4,8.9932205E-4,Gibraltar,7.272006E-4,0.1904881773,0,0.6782558931372549,0.0,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,1.6497786551924021E9,0.9329905903199178,0.44119476937469043,GLP,0.003619353359594921,0.0,0.036193536524815634,0.0,85,8.9932205E-4,8.9932205E-4,Guadeloupe,0.1394727078,4.49228820065,0,28.48168489539223,0.0,1673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,2.6958180818626713E10,0.0,0.0,GNQ,0.0,0.0,0.0,0.0,88,8.9932205E-4,8.9932205E-4,Equatorial Guinea,2.19125429498,9.42553834248,0,17.62062469367647,0.0,1763,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,3.593308181933824E8,0.0,0.0,GRD,0.0,0.0,0.0,0.0,90,8.9932205E-4,8.9932205E-4,Grenada,0.02984042334,2.13710050385,0,10.007602147401956,0.0,861,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,2.1507926119808374E12,0.0,0.0,GRL,0.0,0.0,0.0,0.0,91,8.9932205E-4,8.9932205E-4,Greenland,656.391009405,1828.53187621,0,0.8649171663970588,0.0,392161,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,8.329850173553604E10,0.4824720123884255,0.0,GUF,1.0382331767383727E-4,0.0,0.002076466353476745,0.0,93,8.9932205E-4,8.9932205E-4,French Guiana,6.78375160854,13.2692061126,0,8.527899768186275,0.0,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,5.496014598857845E8,0.0,0.0,GUM,0.0,0.0,0.0,0.0,94,8.9932205E-4,8.9932205E-4,Guam,0.04589522158,1.72134919068,0,11.989927865588244,0.0,507,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,3.628849115303921E8,0.0,0.0,HMD,0.0,0.0,0.0,0.0,97,8.9932205E-4,8.9932205E-4,Heard Island and McDonald Islands,0.04868807829,1.97880145097,0,0.0,0.0,572,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,5.795260477090687E8,0.4187307848329807,0.0,IMN,0.0,0.0,0.0,0.0,103,8.9932205E-4,8.9932205E-4,Isle of Man,0.07985466663,1.87519761175,0,2.5975587210049014,0.0,618,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,6.403718608063725E7,0.0,0.0,IOT,0.0,0.0,0.0,0.0,105,8.9932205E-4,8.9932205E-4,British Indian Ocean Territory,0.00525993866,2.54185084051,0,0.0,0.0,761,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,1.0221620342651015E11,1.7598066423939835,0.0,ISL,0.0,0.0,0.0,0.0,109,8.9932205E-4,8.9932205E-4,Iceland,19.4245707516,100.534531718,0,10.394633147892138,0.0,25582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,1.0998335504921326E10,3.0410083491420434,2.3064354539929104,JAM,0.25969705303305557,0.0,0.3172430210595499,0.0,112,8.9932205E-4,8.9932205E-4,Jamaica,0.93923370812,7.97500897881,0,91.90258735468146,0.0,2668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,1.2500024659117648E8,0.2684457765858114,0.0,JEY,0.0,0.0,0.0,0.0,113,8.9932205E-4,8.9932205E-4,Jersey,0.01543572959,1.00438677708,0,6.159735292622548,0.0,389,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,3.7240843219557965E11,243.0025733637473,9.88267280479126,JPN,2.7505007412837497,0.0,32.39069420212847,0.0,115,8.9932205E-4,8.9932205E-4,Japan,38.0539858715,289.866549779,0,4683.575340074012,0.0,95699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,2.670182182382353E8,0.05881750879394809,0.032692940983613986,KNA,0.0,0.0,0.0,0.0,121,8.9932205E-4,8.9932205E-4,Saint Kitts and Nevis,0.02270251238,1.20793982467,0,2.4091766812254907,0.0,407,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,1.7386020638267155E10,0.4001668873043116,0.3400469707062228,KWT,0.08996219394396565,0.08018875472919947,0.17141075951526927,0.15624593847509397,123,8.9932205E-4,8.9932205E-4,Kuwait,1.61558664189,11.9944242207,0,60.55991537882355,0.0,2411,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,6.142539746279411E8,0.008060678641685018,0.0,LCA,0.0,0.0,0.0,0.0,128,8.9932205E-4,8.9932205E-4,Saint Lucia,0.05138136438,1.70696135889,0,8.618517404705885,0.0,647,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,5.607261998284314E7,2.0120025744049884E-5,0.0,MAF,0.0,0.0,0.0,0.0,136,8.9932205E-4,8.9932205E-4,Saint-Martin,0.00479564051,0.64353598231,0,2.4437921258333333,0.0,225,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,2.873257293215686E8,0.0,0.0,MHL,0.0,0.0,0.0,0.0,143,8.9932205E-4,8.9932205E-4,Marshall Islands,0.02393296494,21.0068940542,0,0.9595799691666667,0.0,7695,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,3.232644473928922E8,0.2427923670147743,0.18192623424935328,MLT,0.021725981650732765,0.0,0.021848055846925948,0.0,146,8.9932205E-4,8.9932205E-4,Malta,0.03229916262,2.01932476836,0,15.335193094828433,0.0,717,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,1.3334470156491423E10,1.2065619841047224,0.8578275848756349,MNE,0.03008559063971776,0.0,0.04008207810441149,0.0,148,8.9932205E-4,8.9932205E-4,Montenegro,1.46690833053,9.17330992574,0,24.656485651421576,0.0,1504,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,5.037577302882352E8,0.0,0.0,MNP,0.0,0.0,0.0,0.0,150,8.9932205E-4,8.9932205E-4,Northern Mariana Islands,0.04258570139,3.55576910398,0,3.9376299488970585,0.0,1061,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,1.0066064482377453E8,0.0015819093128589068,0.0,MSR,0.0,0.0,0.0,0.0,153,8.9932205E-4,8.9932205E-4,Montserrat,0.00853020741,0.43968998712,0,0.0,0.0,156,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,1.1172490554634802E9,0.09139104893900768,0.004827462330991254,MTQ,1.7061942598834025E-4,0.0,0.0034123901514896316,0.0,154,8.9932205E-4,8.9932205E-4,Martinique,0.09378745128,3.53167040494,0,20.83493162936275,0.0,1373,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,2.026429672212745E9,0.0,0.0,MUS,0.0,0.0,0.0,0.0,155,8.9932205E-4,8.9932205E-4,Mauritius,0.17515928997,4.99249096551,0,56.14302462551471,0.0,1894,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,3.910801801299019E8,3.083486919165244E-5,0.0,MYT,0.0,0.0,0.0,0.0,158,8.9932205E-4,8.9932205E-4,Mayotte,0.03259326441,2.23555920557,0,7.27090446845588,0.0,806,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,4.046418977475491E7,0.0,0.0,NFK,0.0,0.0,0.0,0.0,162,8.9932205E-4,8.9932205E-4,Norfolk Island,0.00376162451,0.41649734066,0,0.0,0.0,154,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,1.282147090380049E11,15.744199731705999,9.02493807694286,NIC,0.5946618846059766,0.2151754243803049,0.8759297601447799,0.3137051272676519,164,8.9932205E-4,8.9932205E-4,Nicaragua,10.6784266689,27.6892967418,0,97.36428519997546,0.0,6330,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,2.666796772850491E8,0.0,0.0,NIU,0.0,0.0,0.0,0.0,165,8.9932205E-4,8.9932205E-4,Niue,0.0228866149,0.6181947373,0,0.0,0.0,150,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,2.2108898225980394E7,0.0,0.0,NRU,0.0,0.0,0.0,0.0,169,8.9932205E-4,8.9932205E-4,Nauru,0.00179956436,0.15971442277,0,1.1919171422794117,0.0,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,5.403254675392156E7,0.0,0.0,PCN,0.0,0.0,0.0,0.0,174,8.9932205E-4,8.9932205E-4,Pitcairn Islands,0.00481457828,0.76405682887,0,0.0,0.0,216,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,4.835871976659314E8,1.045157677017893E-4,0.0,PLW,0.0,0.0,0.0,0.0,177,8.9932205E-4,8.9932205E-4,Palau,0.03978746578,6.31287444218,0,0.7179691940196078,0.0,2364,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,8.9689765947549E9,1.9851642921630188,0.24839375674822955,PRI,0.23374288588258246,0.0,0.2984571161191146,0.0,180,8.9932205E-4,8.9932205E-4,Puerto Rico,0.76619261246,9.85417206551,0,259.9230367631386,0.0,3557,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,1.227478947294613E11,133.19620474670177,92.28648379995603,PRK,5.288837820174784,0.0,37.26525876901323,0.0,181,8.9932205E-4,8.9932205E-4,North Korea,12.9745080647,53.8807847655,0,400.70245801708364,0.0,15096,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,6.219548526447548E9,6.193632448870699,5.715175849052263,PSE,0.8504009778012805,0.4386519599216649,1.0112613271443065,0.5957435490786139,184,8.9932205E-4,8.9932205E-4,Palestina,0.59309999305,4.92351765438,0,108.30465353394597,0.0,261,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,1.162448247831789E10,0.25648044948726967,0.07301344582955194,QAT,0.07782117225232438,0.019108554240280642,0.08332229994599438,0.020459321228378444,186,8.9932205E-4,8.9932205E-4,Qatar,1.04195553678,9.04488664262,0,39.60640325605388,0.0,2801,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,2.512406093981127E9,0.0,0.0,REU,0.0,0.0,0.0,0.0,187,8.9932205E-4,8.9932205E-4,Reunion,0.2184663293,2.05663944606,0,40.66557762406858,0.0,639,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,6.948132869992639E8,0.015251550719141766,0.0,SGP,0.0,0.0,0.0,0.0,194,8.9932205E-4,8.9932205E-4,Singapore,0.05661136386,4.17287436162,0,43.68311512539226,0.0,1296,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,4.094414037981373E9,0.0,0.0,SGS,0.0,0.0,0.0,0.0,195,8.9932205E-4,8.9932205E-4,South Georgia and the South Sandwich Islands,0.5705028548,18.2633429191,0,0.0,0.0,4006,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,4.11055038727451E8,0.0,0.0,SHN,0.0,0.0,0.0,0.0,196,8.9932205E-4,8.9932205E-4,Saint Helena,0.03801316576,2.32457196847,0,0.0,0.0,783,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,6.033532786862167E10,0.0,0.0,SJM,0.0,0.0,0.0,0.0,197,8.9932205E-4,8.9932205E-4,Svalbard and Jan Mayen,25.0434391498,308.345027686,0,0.0,0.0,62316,"{""type"":""MultiPoint"",""coordinates"":[]}"
