system:index,Area,CC,CR,CR3,CntryNm,GW,GW3,IR,IR3,Region,UR,aq_id,code,countrs,name,.geo
000000000000000001e9,2.1288948863063723E8,BLZ,0.0,0.0,Belize,0.0,0.0,0.0,0.0,AMER,0.0,364,C010,Belize; Guatemala,Sarst�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ea,1.895147122873284E9,GTM,0.0,0.0,Guatemala,0.0,0.0,0.0,0.0,AMER,0.38270856250000007,364,C010,Belize; Guatemala,Sarst�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb,4.157096597715686E8,BLZ,0.0,0.0,Belize,0.0,0.0,0.0,0.0,AMER,0.0,363,C011,Belize; Guatemala,Temash,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ec,5.101688607671568E7,GTM,0.0,0.0,Guatemala,0.0,0.0,0.0,0.0,AMER,0.0,363,C011,Belize; Guatemala,Temash,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ed,1.236669788353922E10,GTM,1.08262141432578,1.0297221682807336,Guatemala,0.0012995760962604885,9.102618726686662E-4,0.055753608168723635,0.039997892861830905,AMER,90.78719522455876,57,C012,Guatemala; Honduras,Delta del R�o Motagua,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ee,1.7323519689705882E7,HND,3.0377351501727756E-5,0.0,Honduras,0.0,0.0,0.0,0.0,AMER,0.0,57,C012,Guatemala; Honduras,Delta del R�o Motagua,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ef,2.303197588095099E9,GTM,0.2778640084461288,0.2778640084461288,Guatemala,4.8576595942854083E-4,4.221015198673057E-4,0.015767178526121063,0.015482954418637148,AMER,8.61527967485294,217,C013,Guatemala; Honduras,Chiquimula - Cop�n Ruinas,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0,1.312957762083333E7,HND,0.0,0.0,Honduras,0.0,0.0,0.0,0.0,AMER,0.038436777500000005,217,C013,Guatemala; Honduras,Chiquimula - Cop�n Ruinas,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f1,6.4827058835294105E7,HND,0.0015075191902806735,0.0015075191902806735,Honduras,0.0,0.0,0.0,0.0,AMER,0.5463133732843137,357,C014,El Salvador; Honduras,Ocotepeque-Citala,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2,1.0691973085784312E7,SLV,2.2421861249689527E-5,2.2421861249689527E-5,El Salvador,0.0,0.0,0.0,0.0,AMER,0.0,357,C014,El Salvador; Honduras,Ocotepeque-Citala,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f3,2.1441436989083343E9,GTM,0.2265547735642145,0.2265547735642145,Guatemala,0.003391124635204019,0.0,0.012651423619807697,0.0,AMER,3.581820160955883,294,C015,El Salvador; Guatemala,Ostua-Metap�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f4,7.845124317286769E8,SLV,0.04519116654790215,0.04519116654790215,El Salvador,0.0,0.0,1.908148016887017E-4,0.0,AMER,1.8750298442156863,294,C015,El Salvador; Guatemala,Ostua-Metap�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
