"aq_id","CntrName","type","area_km2","lat_c","lon_c","CS_max","RDS_mainDist","GW","Ir","IrNeed3","IrNeed0","OverIR3","OverIR6","giniIr","giniGw","giniIr_Need","giniCSI","gini_crpGWSpct_gt0","gini_gwpct_gt0","RiverBorder"
208,"Guatemala","treat",1294.77757903536,14.980629022674,-92.0272810650868,8718.89367747286,0.00146277122616417,0,0.000498415769934594,0.00872329469203972,0.00872329469203972,0.000205988746436979,0,-0.490289032024771,NA,-0.500593445537581,0.114769189527342,-0.500593445537581,-0.490289032024771,FALSE
208,"Mexico","treat",3136.22180917706,14.9718972046853,-92.3370952376125,7612.63851358274,0.115854511137955,0.00290475997855143,0.00629296234251957,0.0618353563035031,0.0620161193818639,0.00414308424472003,0,-0.0880113921975016,0.67976423780382,0.677504263121112,-0.000424225710845327,0.677504263121112,-0.0880113921975016,FALSE
207,"Guatemala","treat",3961.97335778432,15.3328335961545,-91.7937656011791,7953.89679198377,0,0,0,8.09639802270602e-05,0.000156264025873353,0,0,0.305172300025132,NA,NA,0.0890984121059509,NA,0.336527325437202,FALSE
207,"Mexico","treat",3829.10471324285,15.6543538895159,-92.3300491230929,4960.0423139637,0.234705997314363,0,0.000937316289881933,0.00686438120145198,0.0133520720281061,0.000937316289881933,0,-0.502457425852513,NA,-0.363764615581257,0.068176825640462,-0.363764615581257,-0.502457425852513,FALSE
206,"Guatemala","treat",6016.30138390053,16.3266084888598,-91.0862748793346,7254.84751721272,29.0790195033251,0,0,5.1565070087942e-07,0.00355260868723167,0,0,NA,NA,NA,0.571830789927578,NA,NA,FALSE
206,"Mexico","treat",15451.3215485187,16.6505949986772,-91.4725578151227,6930.28468200307,8.72386461087116,0,0,0,5.38694529141367e-05,0,0,-0.824999107002707,NA,NA,-0.699487910483628,NA,-0.861263840220613,FALSE
205,"Guatemala","treat",13732.5797055624,15.5056716907571,-90.7853261647084,7982.39506621935,4.70079761465381,0,2.28079103769564e-05,0.000304148206576595,0.00144269219075131,0,0,0.793978067491688,NA,0.8273427559271,0.56479805987024,0.8273427559271,0.865245184434761,FALSE
205,"Mexico","treat",1991.89036791761,16.2646029053081,-90.6461663575213,9979.21290936305,1.95924591281302,0,0,0,0.000808143176216368,0,0,NA,NA,NA,-0.0182210266202805,NA,NA,FALSE
288,"Guatemala","treat",14143.1217285524,17.3461959735053,-90.3242914172985,7054.28004906147,20.0589330749691,0,0,1.12422829127786e-06,4.86107183830181e-05,0,0,NA,NA,NA,0.461337111355675,NA,NA,FALSE
288,"Mexico","treat",7205.91884297546,17.7871580993898,-90.6825903118426,3150.67801342662,14.2129434589523,0,0,0,0.000937800117925397,0,0,0.219669227666183,-0.564168881870203,NA,0.643122628023969,NA,0.219669227666183,FALSE
