"aq_id","CountryName","type","area_km2","lat_c","lon_c","CSI","RDS_mainDist","GWIrrig","Irrig","IrrigNeed","IrNeed0","Overdraft","OverIR6","G_Irrig","G_IrrigGW","G_IrrigNeed","G_CSI","gini_crpGWSpct_gt0","gini_gwpct_gt0","RiverBorder","IGRAC_Code","CountryCode","Countries","AquiferName","Region"
208,"Guatemala","treat",1294.77757903536,14.980629022674,-92.0272810650868,8718.89367747286,0.00146277122616417,0,0.000498415769934594,0.00872329469203972,0.00872329469203972,0.000205988746436979,0,-0.490289032024771,NA,-0.563982338193045,0.114769189527342,-0.563982338193045,-0.490289032024771,FALSE,"C001","GTM","Guatemala; Mexico","Soconusco-Suchiate / Coatán","AMER"
208,"Mexico","treat",3136.22180917706,14.9718972046853,-92.3370952376125,7612.63851358274,0.115854511137955,0.00290475997855143,0.00629296234251957,0.0618353563035031,0.0620161193818639,0.00414308424472003,0,-0.0880113921975016,0.67976423780382,0.11512186980298,-0.000424225710845327,0.11512186980298,-0.0880113921975016,FALSE,"C001","MEX","Guatemala; Mexico","Soconusco-Suchiate / Coatán","AMER"
207,"Guatemala","treat",3961.97335778432,15.3328335961545,-91.7937656011791,7953.89679198377,0,0,0,8.09639802270602e-05,0.000156264025873353,0,0,0.305172300025132,NA,-0.304931142517695,0.0890984121059509,-0.304931142517695,0.336527325437202,FALSE,"C002","GTM","Guatemala; Mexico","Chicomuselo-Cuilco / Selegua","AMER"
207,"Mexico","treat",3829.10471324285,15.6543538895159,-92.3300491230929,4960.0423139637,0.234705997314363,0,0.000937316289881933,0.00686438120145198,0.0133520720281061,0.000937316289881933,0,-0.502457425852513,NA,-0.024529323393415,0.068176825640462,-0.024529323393415,-0.502457425852513,FALSE,"C002","MEX","Guatemala; Mexico","Chicomuselo-Cuilco / Selegua","AMER"
206,"Guatemala","treat",6016.30138390053,16.3266084888598,-91.0862748793346,7254.84751721272,29.0790195033251,0,0,5.1565070087942e-07,0.00355260868723167,0,0,NA,NA,-0.323473667106365,0.571830789927578,-0.323473667106365,NA,FALSE,"C003","GTM","Guatemala; Mexico","Ocosingo-Usumacinta-Pocóm-Ixcán","AMER"
206,"Mexico","treat",15451.3215485187,16.6505949986772,-91.4725578151227,6930.28468200307,8.72386461087116,0,0,0,5.38694529141367e-05,0,0,-0.824999107002707,NA,NA,-0.699487910483628,NA,-0.861263840220613,FALSE,"C003","MEX","Guatemala; Mexico","Ocosingo-Usumacinta-Pocóm-Ixcán","AMER"
205,"Guatemala","treat",13732.5797055624,15.5056716907571,-90.7853261647084,7982.39506621935,4.70079761465381,0,2.28079103769564e-05,0.000304148206576595,0.00144269219075131,0,0,0.793978067491688,NA,0.842075085714082,0.56479805987024,0.842075085714082,0.865245184434761,FALSE,"C004","GTM","Guatemala; Mexico","Márquez de Comillas-Chixoy / Xaclbal","AMER"
205,"Mexico","treat",1991.89036791761,16.2646029053081,-90.6461663575213,9979.21290936304,1.95924591281302,0,0,0,0.000808143176216368,0,0,NA,NA,NA,-0.0182210266202805,NA,NA,FALSE,"C004","MEX","Guatemala; Mexico","Márquez de Comillas-Chixoy / Xaclbal","AMER"
288,"Guatemala","treat",14143.1217285524,17.3461959735053,-90.3242914172985,7054.28004906147,20.0589330749691,0,0,1.12422829127786e-06,4.86107183830181e-05,0,0,NA,NA,-0.058743319051884,0.461337111355675,-0.058743319051884,NA,FALSE,"C005","GTM","Guatemala; Mexico","Boca del Cerro-San Pedro","AMER"
288,"Mexico","treat",7205.91884297546,17.7871580993898,-90.6825903118426,3150.67801342662,14.2129434589523,0,0,0,0.000937800117925397,0,0,0.219669227666183,-0.564168881870203,NA,0.643122628023969,NA,0.219669227666183,FALSE,"C005","MEX","Guatemala; Mexico","Boca del Cerro-San Pedro","AMER"
204,"Guatemala","treat",1496.73600786403,15.7539027405431,-91.6803916693226,6766.85725502236,0,0,8.68646421222972e-05,0.00246757675625319,0.0032079896749926,0,0,-0.882374955766964,NA,-0.784553738380833,-0.170696868183536,-0.784553738380833,NA,TRUE,"C006","GTM","Guatemala; Mexico","Trinitaria-Nentón","AMER"
204,"Mexico","treat",3425.12707530778,16.1802520934941,-92.251345226047,6986.06499197914,0,0,0.033749847549346,0.0716418477838595,0.0802124740507541,0.0336842940958222,0,-0.0388270510433992,NA,0.0780259774193328,-0.879742630660298,0.0780259774193328,-0.061237727658946,TRUE,"C006","MEX","Guatemala; Mexico","Trinitaria-Nentón","AMER"
365,"Belize","treat",2712.61058225487,17.8536986791151,-88.8805750105973,8311.05874073251,0,0.000767528767436966,0.000784488567033974,0.00577864606994028,0.0184855042112827,0.000636182986276287,0,-0.775572641899332,-0.755491284778664,-0.386466183133322,0.21303473464102,-0.386466183133322,-0.755491284778664,FALSE,"C007","BLZ","Belize; Guatemala; Mexico","Península de Yucatán-Candelaria-Hondo","AMER"
365,"Guatemala","treat",2936.81611603537,17.5730214167664,-89.4712014894409,8525.01232195827,14.4073801209325,0,0,0,0,0,0,NA,NA,NA,-0.58905287880322,NA,NA,FALSE,"C007","GTM","Belize; Guatemala; Mexico","Península de Yucatán-Candelaria-Hondo","AMER"
365,"Mexico","treat",130977.213664893,19.6361062454226,-89.2712076141065,4278.91712847754,13.3611097863327,0.000152110951505046,0.00018662531411065,0.000764928797154851,0.00548934123794796,0.000153602282956924,0,0.0239912593745617,0.103416679899567,-0.505106051958383,-0.950777570996785,-0.505106051958383,0.0491849796748999,FALSE,"C007","MEX","Belize; Guatemala; Mexico","Península de Yucatán-Candelaria-Hondo","AMER"
362,"Belize","treat",3454.32553325428,17.0449035535797,-88.9659306844538,8421.13245920318,0.178649331468216,0,0,0,0.0127064170966538,0,0,NA,NA,NA,0.0122434751440818,NA,NA,FALSE,"C008","BLZ","Belize; Guatemala","Mopán-Belice","AMER"
362,"Guatemala","treat",5099.57416850615,16.9774063989065,-89.3898481710115,8202.92714231091,7.9092940475344,0,0,0,2.2767187854636e-06,0,0,NA,NA,NA,-0.785438439250157,NA,NA,FALSE,"C008","GTM","Belize; Guatemala","Mopán-Belice","AMER"
361,"Belize","treat",905.99776772109,16.1989345741288,-89.0592042694851,9695.90970945887,0.568837072767554,0,0,0,0.000881961760216704,0,0,NA,NA,NA,0.3588017742505,NA,NA,TRUE,"C009","BLZ","Belize; Guatemala","Pusila-Moho","AMER"
361,"Guatemala","treat",609.9426484538,16.1431736421063,-89.3066171301276,9487.3603776841,2.94166847496729,0,0,0,0,0,0,NA,NA,NA,0.149936329497959,NA,NA,TRUE,"C009","GTM","Belize; Guatemala","Pusila-Moho","AMER"
364,"Belize","treat",213.815158255092,15.9336887420153,-89.0951308685999,7797.87097342328,0,0,0,0,0,0,0,-0.207282052855398,NA,NA,0.901776244783808,NA,-0.207282052855398,TRUE,"C010","BLZ","Belize; Guatemala","Sarstún","AMER"
364,"Guatemala","treat",1901.58860425903,15.8063363482445,-89.4211516975559,9155.76914381643,2.5281953772009,0,0,0,0,0,0,-0.269418242633369,NA,NA,-0.0667751284226741,NA,-0.269418242633369,TRUE,"C010","GTM","Belize; Guatemala","Sarstún","AMER"
363,"Belize","treat",417.242554211944,16.0234734765424,-89.0749119007923,9090.90819592322,0,0,0,0,0,0,0,NA,NA,NA,-0.299837398444795,NA,NA,TRUE,"C011","BLZ","Belize; Guatemala","Temash","AMER"
363,"Guatemala","treat",51.3330630717226,16.0161442571899,-89.2699966500802,9992.58330884514,0.36869333749119,0,0,0,0,0,0,NA,NA,NA,0.949290662586687,NA,NA,TRUE,"C011","GTM","Belize; Guatemala","Temash","AMER"
57,"Guatemala","treat",12411.87466778,15.0193608621275,-89.8332595083028,8920.80281541755,1.24032864967323,3.36121581927861e-08,0.000397407520082063,0.00818312118901225,0.00860127370884457,0.000266805025751627,0,-0.290609631696438,-0.251374922528995,0.147153019050757,-0.671344414155007,0.147153019050757,-0.349862796031954,FALSE,"C012","GTM","Guatemala; Honduras","Delta del Río Motagua","AMER"
57,"Honduras","treat",17.4935473581609,15.3722822968807,-88.6751437228188,8423.56987847223,11.2112674375676,0,0,0,0.000646173624837292,0,0,-0.401305770967825,NA,NA,0.998474761527715,NA,NA,FALSE,"C012","HND","Guatemala; Honduras","Delta del Río Motagua","AMER"
217,"Guatemala","treat",2311.91321867989,14.7564258672408,-89.468885291393,7844.20248939699,0,0,0.000850228057511739,0.0132439381505096,0.0132439381505096,0.000841309970759834,0,0.306077783123307,-0.0696224987349336,0.187301708952118,0.801599785660116,0.187301708952118,0.256845259645537,FALSE,"C013","GTM","Guatemala; Honduras","Chiquimula - Copán Ruinas","AMER"
