"","b_0","se_0","p_0","nm_0","st0","b_1","se_1","p_1","nm_1","st1","n","k_cluster"
"1",61.3378049524992,217.893731878094,0.778324396011455,"intrcpt","",0.0738317310861907,4.4512899788491,0.986766421062656,"intrcpt","",681,19
"2",11.9891287418003,42.1185710494613,0.775910890958379,"TBTRUE","",-0.962953358944517,0.933931565905289,0.302505715813398,"TBTRUE","",681,19
"3",-49.8296946365366,270.823060724189,0.854018519901651,"factor(CC)BEL","",-0.767271182788599,5.82530795189996,0.895210977180621,"factor(CC)BEL","",681,19
"4",24.2856632113275,238.975856721872,0.9190551927715,"factor(CC)BGD","",0.295147393147986,4.90054740210704,0.95197449653464,"factor(CC)BGD","",681,19
"5",-65.9760973725558,310.75107951007,0.831863849626195,"factor(CC)BGR","",0.716294061328337,6.68541481628501,0.91467569322893,"factor(CC)BGR","",681,19
"6",-87.2337030985292,226.165230064527,0.699713053455153,"factor(CC)CAN","",0.183020331026612,4.62352363443072,0.968424305689835,"factor(CC)CAN","",681,19
"7",135.283019593919,230.820515759684,0.557810891826265,"factor(CC)CHN","",0.394185351126011,4.71910001993345,0.933430305064206,"factor(CC)CHN","",681,19
"8",-40.9519676959669,251.404167743547,0.870602718111667,"factor(CC)CZE","",-0.305118654221361,5.15081493792974,0.952763365961276,"factor(CC)CZE","",681,19
"9",-79.7939389635931,251.777053756481,0.751302030203347,"factor(CC)DNK","",-0.265112506155044,5.14776606838257,0.958926706573903,"factor(CC)DNK","",681,19
"10",-184.07443499267,226.727853153409,0.416863970371551,"factor(CC)ESP","",0.785696570138925,4.70446012532387,0.867361397060528,"factor(CC)ESP","",681,19
"11",-39.4864179409564,223.969358082075,0.860056086971703,"factor(CC)FRA","",-0.239846340387593,4.58707775108593,0.95829969793258,"factor(CC)FRA","",681,19
"12",82.9303071712675,220.032438679086,0.706247647730321,"factor(CC)IND","",0.110605761536496,4.49936692535093,0.980387964923839,"factor(CC)IND","",681,19
"13",391.237385382904,218.675056394886,0.0735944105900092,"factor(CC)IRN","*",-1.15566923587237,4.48485458711778,0.796651833703604,"factor(CC)IRN","",681,19
"14",-45.9157305912911,222.097084502104,0.836215099280829,"factor(CC)MEX","",0.237695737050474,4.65532452852968,0.959278588440327,"factor(CC)MEX","",681,19
"15",-87.4244007064386,236.845859044423,0.712038731445845,"factor(CC)PAK","",0.506584754433314,4.84421616821858,0.916712914005873,"factor(CC)PAK","",681,19
"16",1356.3451021809,385.437377319,0.000433214956033689,"factor(CC)SAU","***",-6.019970156768,6.56397650104875,0.359078482424359,"factor(CC)SAU","",681,19
"17",-6.99117020123151,274.655726790379,0.979692597266047,"factor(CC)THA","",5.50281806175917,5.88178209194545,0.34949469762776,"factor(CC)THA","",681,19
"18",21.9026140224347,218.263058232437,0.920066768591467,"factor(CC)USA","",-0.0444419657199287,4.46135263934046,0.99205196837846,"factor(CC)USA","",681,19
"19",73.7908414577057,268.460996397908,0.783419071460772,"factor(CC)VNM","",-1.24751065719519,5.52348001183162,0.82131348305087,"factor(CC)VNM","",681,19
"20",61.2501609893784,228.619720901526,0.788766402311378,"factor(CC)ZAF","",0.672611683382042,4.73762564857438,0.887101873168124,"factor(CC)ZAF","",681,19
