"tb_b_0","tb_se_0","tb_p_0","tb_b_1","tb_se_1","tb_p_1","drop_CC","wells_in_CC","sig_0","sig_1","base_b_0","base_b_1","delta_b_0","delta_b_1","infl_std_0","infl_std_1"
10.4829794008321,1.9048754826752,3.72882657264717e-08,-0.110089017813244,0.0706424469048765,0.119139031587364,"CAN",902,TRUE,FALSE,8.90613238187398,-0.208719416256007,1.57684701895809,0.0986303984427628,0.935945356056988,1.74091482002497
6.51694927768851,1.68799878398443,0.000113037331110574,-0.172015426097801,0.0599054429845214,0.00408594669733252,"DNK",253,TRUE,TRUE,8.90613238187398,-0.208719416256007,-2.38918310418547,0.0367039901582062,-1.418111461827,0.647858281314289
8.74732395868056,1.67925675462645,1.89815103566177e-07,-0.15172535357835,0.0558394479931151,0.00658424913209896,"ESP",695,TRUE,TRUE,8.90613238187398,-0.208719416256007,-0.158808423193413,0.0569940626776567,-0.0942615259461378,1.00599622363429
8.34804131926944,1.79381801118905,3.25898413880933e-06,-0.0526941945829374,0.0580395630329004,0.363930372057531,"FRA",1912,TRUE,FALSE,8.90613238187398,-0.208719416256007,-0.558091062604538,0.15602522167307,-0.331257713666331,2.75398482614828
7.64968957541788,1.78059353733703,1.73793243784171e-05,0.0052958184117199,0.0676939498531635,0.937643680113186,"IND",4851,TRUE,FALSE,8.90613238187398,-0.208719416256007,-1.2564428064561,0.214015234667727,-0.745767849205066,3.7775604643875
4.67988210637997,1.66690644091153,0.00499237487444177,-0.117376296206493,0.0571412337233028,0.0399618009000244,"MEX",1266,TRUE,TRUE,8.90613238187398,-0.208719416256007,-4.22625027549401,0.0913431200495141,-2.5085117778241,1.61228783328703
8.08976262270561,1.79586761889983,6.64811076624407e-06,-0.0240350351104724,0.0648448257510877,0.710894784425951,"PAK",1708,TRUE,FALSE,8.90613238187398,-0.208719416256007,-0.816369759168364,0.184684381145535,-0.484560312910925,3.25984464465066
-0.458329539972789,2.24114613507994,0.837957508096417,0.00585716600132638,0.066887025186369,0.930220001335946,"USA",94874,FALSE,FALSE,8.90613238187398,-0.208719416256007,-9.36446192184677,0.214576582257333,-5.55832274301172,3.78746875182587
5.11865593182636,1.65252816069288,0.00195180337890313,-0.163862031767831,0.0552476425641015,0.00301744457978842,"VNM",52,TRUE,TRUE,8.90613238187398,-0.208719416256007,-3.78747645004762,0.0448573844881762,-2.24807540108714,0.791772989625941
6.17816381264637,1.69461181599125,0.000266593017477825,-0.0978099987478108,0.0607707503725081,0.107508938838361,"ZAF",684,TRUE,FALSE,8.90613238187398,-0.208719416256007,-2.7279685692276,0.110909417508196,-1.61919925214119,1.95765049790817
