"","b_0","se_0","p_0","nm_0","st0","tau2_CC_0","b_1","se_1","p_1","nm_1","st1","tau2_CC_1","n","k_cluster","looaqf","k","iter"
"11",90.2361921962883,59.6462132850287,0.130315982572903,"intrcpt","",62846.3760497182,0.0937168399957526,0.418428077219104,0.822777850770618,"intrcpt","",2.77013541326825,656,18,"Devonian and Overlying Unconsolidated Aquifers; Rio Grande Delta; Yuma Basin; Lom- Pleven Depression; Southcentral Floodplains; Barind Tract and Central Floodplains; Williston Basin; Tournaisis Region Carbonate Aquifers; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Stockton Plateau; Transboundary Odanah Shale; Southern St. Lawrence Lowlands; Northern Piedmont and Tista Fan; Edwards Plateau; Upper Gangetic Plain; Middle Gangetic Plain; Eastern Mekong Delta; Rio Grande Delta; Mimbres Basin; Barind Tract and Central Floodplains; Sandlands Aquifer; Northern Piedmont and Tista Fan; Sylhet Basin; Pomfret-Vergelegen Dolomitic Aquifer; Alsatian Aquifer and Upper Rhine Valley",25,1
"12",13.072226278547,2.09450294971147,4.34207425008643e-10,"TBTRUE","***",62846.3760497182,-0.341318464802976,0.0913350085459295,0.000186232669764999,"TBTRUE","***",2.77013541326825,656,18,"Devonian and Overlying Unconsolidated Aquifers; Rio Grande Delta; Yuma Basin; Lom- Pleven Depression; Southcentral Floodplains; Barind Tract and Central Floodplains; Williston Basin; Tournaisis Region Carbonate Aquifers; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Stockton Plateau; Transboundary Odanah Shale; Southern St. Lawrence Lowlands; Northern Piedmont and Tista Fan; Edwards Plateau; Upper Gangetic Plain; Middle Gangetic Plain; Eastern Mekong Delta; Rio Grande Delta; Mimbres Basin; Barind Tract and Central Floodplains; Sandlands Aquifer; Northern Piedmont and Tista Fan; Sylhet Basin; Pomfret-Vergelegen Dolomitic Aquifer; Alsatian Aquifer and Upper Rhine Valley",25,1
"13",41.0440708753878,13.9777205182971,0.00332054103031357,"intrcpt","",2957.50554483583,-0.0343610609669503,0.112204360596826,0.759424649384901,"intrcpt","",0.123996679246345,650,18,"Eastern Mekong Delta; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Barind Tract and Central Floodplains; Northern Piedmont and Tista Fan; Madhupur Tract and Eastern Floodplains; Pomfret-Vergelegen Dolomitic Aquifer; Rio Grande Delta; Tijuana-San Diego Basin; Transboundary Odanah Shale; Lom- Pleven Depression; Mexicali Valley; Devonian and Overlying Unconsolidated Aquifers; Williston Basin; Northern Piedmont and Tista Fan; Mons Sedimentary Basin; Sylhet Basin; Western Carrizo-Wilcox; Bari Doab; Yuma Basin; Barind Tract and Central Floodplains; Southeastern Bengal Basin; West Jutland Quaternary and Tertiary Sand Aquifer System; Valle de Juarez and Hueco Bolson; Rio Grande Delta; Eastside Middle Indus Plain; San Pedro Basin; Western Bengal Basin; Middle Gangetic Plain; Southern Odanah Shale; Alsatian Aquifer and Upper Rhine Valley",30,1
"14",-3.68132526002197,4.0437783662013,0.362628619591016,"TBTRUE","***",2957.50554483583,-0.519903830185498,0.0844510618019447,7.44765822782983e-10,"TBTRUE","***",0.123996679246345,650,18,"Eastern Mekong Delta; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Barind Tract and Central Floodplains; Northern Piedmont and Tista Fan; Madhupur Tract and Eastern Floodplains; Pomfret-Vergelegen Dolomitic Aquifer; Rio Grande Delta; Tijuana-San Diego Basin; Transboundary Odanah Shale; Lom- Pleven Depression; Mexicali Valley; Devonian and Overlying Unconsolidated Aquifers; Williston Basin; Northern Piedmont and Tista Fan; Mons Sedimentary Basin; Sylhet Basin; Western Carrizo-Wilcox; Bari Doab; Yuma Basin; Barind Tract and Central Floodplains; Southeastern Bengal Basin; West Jutland Quaternary and Tertiary Sand Aquifer System; Valle de Juarez and Hueco Bolson; Rio Grande Delta; Eastside Middle Indus Plain; San Pedro Basin; Western Bengal Basin; Middle Gangetic Plain; Southern Odanah Shale; Alsatian Aquifer and Upper Rhine Valley",30,1
"15",125.046228452296,81.1971314765222,0.123552410353736,"intrcpt","",104728.326259505,-0.282775552352462,0.407754579538404,0.4879992853098,"intrcpt","",2.36727736939277,643,16,"Chaj Doab; Alsatian Aquifer and Upper Rhine Valley; Eastern Imperial and Amos and Oligby Valleys; Southern Odanah Shale; Valle de Juarez and Hueco Bolson; Transboundary Odanah Shale; Bari Doab; Edwards Plateau; Barind Tract and Central Floodplains; West Jutland Quaternary and Tertiary Sand Aquifer System; Sandlands Aquifer; Northern Piedmont and Tista Fan; Williston Basin; San Pedro Basin; Tijuana-San Diego Basin; Rechna Doab; Tournaisis Region Carbonate Aquifers; Yuma Basin; Southcentral Floodplains; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Madhupur Tract and Eastern Floodplains; Rio Grande Delta; Southeastern Bengal Basin; Mons Sedimentary Basin; Sylhet Basin; Western Carrizo-Wilcox; Middle Gangetic Plain; Avra Valley; Lom- Pleven Depression; Western Bengal Basin; Devonian and Overlying Unconsolidated Aquifers; Southern St. Lawrence Lowlands; Eastern Mekong Delta; Mexicali Valley; Stockton Plateau",35,1
"16",-42.7337136575611,7.65909094091193,2.41244305364829e-08,"TBTRUE","***",104728.326259505,-1.05376939124256,0.124234635120761,2.21183830965087e-17,"TBTRUE","***",2.36727736939277,643,16,"Chaj Doab; Alsatian Aquifer and Upper Rhine Valley; Eastern Imperial and Amos and Oligby Valleys; Southern Odanah Shale; Valle de Juarez and Hueco Bolson; Transboundary Odanah Shale; Bari Doab; Edwards Plateau; Barind Tract and Central Floodplains; West Jutland Quaternary and Tertiary Sand Aquifer System; Sandlands Aquifer; Northern Piedmont and Tista Fan; Williston Basin; San Pedro Basin; Tijuana-San Diego Basin; Rechna Doab; Tournaisis Region Carbonate Aquifers; Yuma Basin; Southcentral Floodplains; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Madhupur Tract and Eastern Floodplains; Rio Grande Delta; Southeastern Bengal Basin; Mons Sedimentary Basin; Sylhet Basin; Western Carrizo-Wilcox; Middle Gangetic Plain; Avra Valley; Lom- Pleven Depression; Western Bengal Basin; Devonian and Overlying Unconsolidated Aquifers; Southern St. Lawrence Lowlands; Eastern Mekong Delta; Mexicali Valley; Stockton Plateau",35,1
"17",33.2441156911889,14.9748748490902,0.0264192502669949,"intrcpt","",2918.48009073528,-0.0421471381296133,0.268583422840974,0.875304882593227,"intrcpt","",0.812731539370602,640,16,"Devonian and Overlying Unconsolidated Aquifers; Tournaisis Region Carbonate Aquifers; Upper Gangetic Plain; Bari Doab; Mons Sedimentary Basin; Mimbres Basin; Valle de Juarez and Hueco Bolson; Sandlands Aquifer; Madhupur Tract and Eastern Floodplains; Eastern Mekong Delta; Trans Gangetic Plain; Western Carrizo-Wilcox; Mexicali Valley; Rio Grande Delta; Rio Grande Delta; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Middle Gangetic Plain; West Jutland Quaternary and Tertiary Sand Aquifer System; Transboundary Odanah Shale; Southeastern Bengal Basin; Alsatian Aquifer and Upper Rhine Valley; Stockton Plateau; Edwards Plateau; Chaj Doab; Rechna Doab; Eastside Middle Indus Plain; Northern Piedmont and Tista Fan; Barind Tract and Central Floodplains; Western Bengal Basin; Tijuana-San Diego Basin; Southcentral Floodplains; Lom- Pleven Depression; Eastside Middle Indus Plain; Williston Basin; Northern Piedmont and Tista Fan; Avra Valley; Southern St. Lawrence Lowlands; San Pedro Basin; Sylhet Basin; Southern Odanah Shale",40,1
"18",376.436794159987,43.1629282163313,2.75028591525455e-18,"TBTRUE","***",2918.48009073528,-15.6439350612262,3.62378172687955,1.58150452064493e-05,"TBTRUE","***",0.812731539370602,640,16,"Devonian and Overlying Unconsolidated Aquifers; Tournaisis Region Carbonate Aquifers; Upper Gangetic Plain; Bari Doab; Mons Sedimentary Basin; Mimbres Basin; Valle de Juarez and Hueco Bolson; Sandlands Aquifer; Madhupur Tract and Eastern Floodplains; Eastern Mekong Delta; Trans Gangetic Plain; Western Carrizo-Wilcox; Mexicali Valley; Rio Grande Delta; Rio Grande Delta; Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers; Middle Gangetic Plain; West Jutland Quaternary and Tertiary Sand Aquifer System; Transboundary Odanah Shale; Southeastern Bengal Basin; Alsatian Aquifer and Upper Rhine Valley; Stockton Plateau; Edwards Plateau; Chaj Doab; Rechna Doab; Eastside Middle Indus Plain; Northern Piedmont and Tista Fan; Barind Tract and Central Floodplains; Western Bengal Basin; Tijuana-San Diego Basin; Southcentral Floodplains; Lom- Pleven Depression; Eastside Middle Indus Plain; Williston Basin; Northern Piedmont and Tista Fan; Avra Valley; Southern St. Lawrence Lowlands; San Pedro Basin; Sylhet Basin; Southern Odanah Shale",40,1
"19",26.6433642056158,12.7586575043592,0.0367745989685751,"intrcpt","",2733.7272941705,-0.108531334455169,0.104707756959765,0.299961171465953,"intrcpt","",0.112473000000217,680,19,"Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers",1,2
"20",9.60452376725999,1.7395649489995,3.36650667125943e-08,"TBTRUE","***",2733.7272941705,-0.14334955034885,0.0588066007582234,0.0147833298569863,"TBTRUE","**",0.112473000000217,680,19,"Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers",1,2
