segment,country,wells,share_wells_within_10km,share_wells_within_50km,share_wells_within_100km,raw_excess_depletion_mm_yr,raw_excess_gradient_z,shrunken_excess_depletion_mm_yr,shrunken_excess_gradient_z,quadrant,rank_raw,selection_top_k_raw,selection_consistent_all_paths
Eastern Imperial and Amos and Oligby Valleys (USA),USA,30,0.8333333333333334,1,1,460.4053940827549,-0.4724285556016563,436.31054229938195,-0.31735865082034775,fast + borderward,1,TRUE,TRUE
Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers (ESP),ESP,30,0.13333333333333333,0.7666666666666667,1,-156.42229471770892,0.6871889540915884,104.94816033463157,0.3372629988006227,"fast, not borderward",2,TRUE,TRUE
Western Carrizo-Wilcox (USA),USA,433,0.0023094688221709007,0.04387990762124711,0.11085450346420324,244.71128996518817,-0.35337676679826746,340.1023696349068,-0.3425573780572452,fast + borderward,3,TRUE,TRUE
Avra Valley (USA),USA,26,0.11538461538461539,0.38461538461538464,0.8076923076923077,-441.5018449642748,-0.4775989861374922,-251.97132261413043,-0.30465921617756375,"borderward, not fast",4,TRUE,TRUE
Southeastern Bengal Basin (BGD),BGD,27,0.18518518518518517,0.7407407407407407,1,-155.9907090257529,-0.5790442719782443,-160.03899523837785,-0.3665949253086883,"borderward, not fast",6,TRUE,TRUE
Valle de Juarez and Hueco Bolson (USA),USA,112,0.6071428571428571,0.9910714285714286,1,156.7586349099786,-0.07092818894484758,194.33788263938305,-0.07724605031438254,fast + borderward,7,TRUE,TRUE
Western Bengal Basin (IND),IND,119,0.025210084033613446,0.35294117647058826,0.865546218487395,146.68821757082762,-0.052332850788789756,183.62285732152623,-0.06077573069827995,fast + borderward,8,TRUE,TRUE
Yuma Basin (USA),USA,21,0.6190476190476191,1,1,-48.00999274950442,-0.5080876546400829,50.72073611954475,-0.29302783208812655,fast + borderward,9,TRUE,TRUE
