"HYBAS_ID","area_km2","name","aq_id","dist_km","lev"
1060012220,24456.5883322859,"Mozambique",1,1038.24676083499,6
1060012540,19858.0128356241,"Mozambique",1,905.427962859285,6
1061584690,16375.577842364,"Mozambique",1,807.495783068687,6
1061570450,8412.40792009279,"Mozambique",1,923.464546902939,6
1061574470,12320.6034174154,"South Africa",1,656.263404294064,6
1061580710,12185.2217973651,"South Africa",1,596.58344723931,6
1061549880,13759.8663602805,"South Africa",1,738.522021516296,6
1061586860,16565.4147367673,"South Africa",1,439.039107607529,6
1061552590,16010.1971519778,"South Africa",1,678.872548845766,6
1061556110,9917.80363643098,"Botswana",1,821.603385010561,6
1060014370,21311.4188576797,"South Africa",1,476.760361183036,6
1061655760,10329.6556501855,"South Africa",1,594.692784076439,6
1061659690,13284.2284736617,"South Africa",1,832.906785668813,6
1061658860,18495.4959884248,"South Africa",1,707.846602285482,6
1060014930,15659.4639510839,"South Africa",1,912.608821860119,6
1060015030,12586.3421674067,"South Africa",1,1000.99593501316,6
1060015390,7794.04847879229,"South Africa",1,1000.12657228462,6
1061647410,17060.7399769377,"South Africa",1,894.112176776322,6
1061647450,10097.236872331,"South Africa",1,917.334964662225,6
1060015720,10156.2900744076,"South Africa",1,1003.57694522344,6
1061627810,11947.8666294429,"South Africa",1,926.971713882183,6
1061611780,10143.4829446088,"Namibia",1,987.691704194405,6
1061626210,8677.81023869986,"South Africa",1,681.689335958949,6
1061628080,7998.97222251801,"South Africa",1,686.384943863971,6
1061633620,23903.6076500605,"South Africa",1,633.568363112898,6
1061633610,9688.33559830132,"South Africa",1,739.985379763735,6
1061628600,7773.6447525644,"South Africa",1,555.696640831504,6
1061642610,16818.6714395924,"South Africa",1,777.326630642448,6
1061633070,32696.1011287984,"South Africa",1,481.323916328587,6
1061606860,16060.6955196422,"South Africa",1,549.870716486092,6
1061647100,8019.41872963652,"South Africa",1,647.685204857512,6
1061629430,14254.0538426965,"South Africa",1,367.380533171686,6
1061629090,7721.0557924153,"South Africa",1,289.479932942557,6
1061623270,14041.9298805568,"South Africa",1,335.900048798521,6
1061615340,10102.6237449665,"South Africa",1,451.294908906532,6
1061616230,9253.78258616027,"South Africa",1,310.16381079196,6
1061608480,11317.2091474327,"South Africa",1,333.770129084621,6
1061608870,20189.5337688997,"South Africa",1,312.957898684191,6
1061548460,10002.2973329546,"Botswana",1,900.120965044607,6
1061550590,9426.91388334431,"Botswana",1,910.350920284779,6
1061558360,15194.825118137,"Botswana",1,838.634058490146,6
1061549840,7717.51628271949,"Botswana",1,991.418360142711,6
1061560140,7667.48507445122,"Botswana",1,790.107691216857,6
1061565360,10571.1064594663,"Botswana",1,714.194686450149,6
1060045460,10550.2202369968,"South Africa",1,838.048424815911,6
1061633070,32696.1011287984,"South Africa",2,387.265125299933,6
1061656050,2792.79825365064,"South Africa",3,1004.55118321034,6
1060014490,1184.43732307465,"South Africa",3,1011.19941768089,6
1061656620,1524.42554774563,"South Africa",3,871.288378842698,6
1061656580,1349.90497047586,"South Africa",3,882.651485998764,6
1061649450,2606.55397201131,"South Africa",3,822.478021628988,6
1061649410,1398.38954951833,"South Africa",3,778.766711266469,6
1060014920,1663.57549350546,"South Africa",3,808.597175946173,6
1061659700,628.322185259182,"South Africa",3,789.490424061124,6
1061658890,2592.68869349869,"South Africa",3,792.672092536487,6
1061658610,1826.2584354161,"South Africa",3,846.656872402146,6
1061658560,2416.05499737875,"South Africa",3,821.516407851871,6
1061657830,1112.15505857772,"South Africa",3,875.786173285987,6
1060015560,679.804905587799,"South Africa",3,390.365667270173,6
1061650850,972.5235807904,"South Africa",3,515.626873104311,6
1061651680,358.713355199943,"South Africa",3,536.891093530033,6
1060015570,2909.25520524426,"South Africa",3,344.815099369406,6
1061620200,241.73961127412,"Namibia",3,96.9658312297458,6
1061624330,2292.3710065652,"South Africa",3,383.207711946283,6
