"Aquifer","CS_max","GWIrKHaKm2","RDS_main","RDS_mainDist","RDS_tot","STS","area_km2","constant","crpkHaKm2","lat_c","lon_c","pet_mm","prec_mm","CC","CntrNm","urbkHaKm2","type","GW","Ir","IrNeed0","IrNeed3","IrNeed6","OverGW0","OverGW3","OverGW6","OverIR0","OverIR3","OverIR6","crp","giniIr","giniGw","giniCr","giniUnsustIr","giniUnsustGw","giniCSI","aq_id","RiverBorder"
"Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers",6327.01169740819,0,202.430140970061,0,481.258243039693,2.98231159578311,3620.82589346688,1,0.251667351576183,38.8284755056866,-6.62963374560672,1162.06437805371,45.5227716416877,"ESP","Spain",0.00162654467672365,"treat",0,0.0731969313574165,0.252528586910353,0.252528586910353,0.240736386746729,0,0,0,0.0731969313574165,0.0723739489689997,0.0067681714841475,0.252528586910353,-0.33033272742429,NA,-0.297073567369919,-0.331827290207872,NA,0.0773108651486467,1153,TRUE
"Don Bonito Region in the Middle Guadiana Basin",6942.58843336248,0,127.915608071122,0.417457915531742,345.145624786341,2.9659445776209,2900.62850251983,1,0.406297690533658,38.9900179645108,-5.82188810144171,1125.98219064373,45.4357676931644,"ESP","Spain",0.000643394847093503,"ctrl",0,0.175571666638395,0.406489617392159,0.406450568349196,0.395264585730429,0,0,0,0.175571666638395,0.170043695997579,0.128144022006026,0.406489617392159,-0.179588943993017,NA,-0.0521998272842341,-0.223581385837681,NA,0.119390112907844,1154,FALSE
"Ranas Orbigo-Esla and Esla-Cea Aquifers",6599.74281791477,0,305.17223160933,0.000123144376799261,897.958484333012,2.93722711805694,4573.77318261365,1,0.463148425391835,42.3645464353679,-5.52877118959773,913.16609461916,48.9962404400869,"ESP","Spain",0.00116385325740918,"ctrl",0,0.139459841583248,0.459708342759506,0.459052132109167,0.359364864499259,0,0,0,0.139459841583248,0.108985107474747,0,0.459708342759506,-0.297437881259305,NA,-0.0260075097824872,-0.520512613473967,NA,-0.0115757376296171,1155,FALSE
"Oropesa Plain",6731.79815543987,0,805.769720673343,0.129192700263504,1317.69829021432,3.81253138130599,113.193081055964,1,0.00679204219436816,40.192092737031,0.193297734235693,1075.06233258299,36.729999247249,"ESP","Spain",0.00279662963931318,"ctrl",0,0.00264406101824893,0.00658452698555721,0.00376412067761872,0.00337549290346064,0,0,0,0.00264406101824893,0.00264406101824893,0.00264406101824893,0.00658452698555721,-0.250122042113365,NA,NA,-0.258185669771498,NA,NA,1156,FALSE
"Bierzo Basin",4367.78628321504,0,496.430185975926,0,2178.24774481803,5.40959948722299,305.791723023407,1,0.0212118731671619,42.5827491214963,-6.67085485361654,834.686109604371,86.2084854711754,"ESP","Spain",0.00770171785163872,"ctrl",0,0.00160227108024327,0.0215681898420043,0.0165926300706495,0,0,0,0,0.00160227108024327,0,0,0.0215681898420043,-0.280508579999719,NA,NA,NA,NA,NA,1157,FALSE
"Xinzo de Limia Aquifer",5058.55467131027,0,262.139323788737,0,301.612545602105,4.14540275621883,368.738299136089,1,0.254984419586546,42.0819845114408,-7.71200200096555,831.03016424518,137.084946822316,"ESP","Spain",0.000588046966967529,"ctrl",0,0.0735947778111494,0.255931160291249,0.173401322105851,0,0,0,0,0.0735947778111494,0,0,0.255931160291249,-0.113548362500218,NA,0.0441685181442196,NA,NA,-0.0954322403101946,1158,TRUE
"Tietar Valley Aquifer",6430.83871419544,0.0240084785109229,119.211494072872,0.694608931891069,351.172085760006,3.15817639228773,2717.94902672342,1,0.127733295708266,40.0114178786836,-5.4541367099673,1048.11932696055,35.8059014969634,"ESP","Spain",0.000146373490351117,"ctrl",0.00351956512413318,0.0351110717755921,0.126826562029069,0.117755287521133,0.0118780836758004,0.00351956512413318,0,0,0.0351110717755921,0.0166396706242146,0,0.126826562029069,-0.116737721604048,0.356631205203734,0.0287001487059035,-0.265493324109733,NA,0.216545739833098,1159,FALSE
"Moraleja Aquifer",7183.84086259915,0,0,5.24929776041449,404.53082313814,3.34627364031094,227.035659808621,1,0.327291578027316,40.059365561101,-6.70010009959887,1048.53209571264,57.7956731067255,"ESP","Spain",0,"ctrl",0,0.147233194717372,0.326965924623743,0.326802893857652,0.28309600782278,0,0,0,0.147233194717372,0,0,0.326965924623743,0.179837500447274,NA,0.14311111180054,NA,NA,0.0260154049217287,1160,FALSE
"Galisteo Aquifer",6290.61365250638,0,133.300146589896,0,473.095575604621,3.34849354954084,595.110119382177,1,0.389154194149952,39.9970952643702,-6.3682920285368,1047.06696794455,50.4810299806331,"ESP","Spain",0.000589854893004488,"ctrl",0,0.196749382299716,0.389354679268867,0.388105179389969,0.125144515059553,0,0,0,0.196749382299716,0.0957908767743403,0,0.389354679268867,0.0975958616559987,NA,0.0184879660156072,0.0272151473112797,NA,-0.220969671713959,1161,FALSE
"Vitoria-Gasteiz Quaternary Aquifer",9084.78772359571,0,482.701322560573,0,1573.02695988859,2.33315636636607,580.848083482063,1,0.3828972811437,42.8678032991042,-2.57993729556557,801.254986203313,71.854191041715,"ESP","Spain",0.0055363816520031,"ctrl",0,0.0700545495279769,0.383546074461223,0.227978323110396,0,0,0,0,0.0700545495279769,0,0,0.383546074461223,-0.25686981950531,NA,-0.0801031801754926,NA,NA,0.0457278762680843,1162,FALSE
