"code","CC_1","CC_2","name","ArrangementScore","CR3_B1_1","GW_B1_1","GW3_B1_1","UR_B1_1","Area_B1_1","IR_B1_1","IR3_B1_1","CR3_B1_2","GW_B1_2","GW3_B1_2","UR_B1_2","Area_B1_2","IR_B1_2","IR3_B1_2","CR3_B2_1","GW_B2_1","GW3_B2_1","UR_B2_1","Area_B2_1","IR_B2_1","IR3_B2_1","CR3_B2_2","GW_B2_2","GW3_B2_2","UR_B2_2","Area_B2_2","IR_B2_2","IR3_B2_2","CR3_1","GW_1","GW3_1","UR_1","Area_1","IR_1","IR3_1","CR3_2","GW_2","GW3_2","UR_2","Area_2","IR_2","IR3_2","CR3_C_1","GW_C_1","GW3_C_1","UR_C_1","Area_C_1","IR_C_1","IR3_C_1","CR3_C_2","GW_C_2","GW3_C_2","UR_C_2","Area_C_2","IR_C_2","IR3_C_2","CR3_B11_1","GW_B11_1","GW3_B11_1","UR_B11_1","Area_B11_1","IR_B11_1","IR3_B11_1","CR3_B11_2","GW_B11_2","GW3_B11_2","UR_B11_2","Area_B11_2","IR_B11_2","IR3_B11_2","CR3_B22_1","GW_B22_1","GW3_B22_1","UR_B22_1","Area_B22_1","IR_B22_1","IR3_B22_1","CR3_B22_2","GW_B22_2","GW3_B22_2","UR_B22_2","Area_B22_2","IR_B22_2","IR3_B22_2","has_river_border"
"AF001","LSO","ZAF","Karoo Sedimentary Aquifer",0,0.0850023391586,8.3288874224331e-05,0,33.6711328354902,7615689419.80735,0.0048473235076283,0,0.069955423360898,0.00141504669633822,0,13.0011667959314,8334088100.14657,0.0515154394308544,0,0.0850023391586,0.000160524154804826,0,56.4201320854902,30557891256.1824,0.00894471546397888,0,15.2898008339875,0.0753564914708437,0.000511547814200722,65.087470471103,60969688894.814,0.946123078302496,0.00681149444293366,0.0850023391586,0.000160524154804826,0,56.4201320854902,30557891256.1824,0.00894471546397888,0,16.1768283627367,0.0995148095367244,0.0143718031247886,92.3168743130637,104686032706.156,1.26963562718351,0.20492593892784,0.0846192193771796,0.000157950764868586,0,56.4083071470343,30543596487.4081,0.00882995186613446,0,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,0.0850023391586,7.82055004955152e-05,0,19.1897320354902,4119055239.18235,0.00461587167143928,0,0.0499863961906056,0.00119630921910185,0,4.01574318343137,4321151080.79828,0.0415471058555692,0,0.0850023391586,0.000160524154804826,0,56.4201320854902,30557891256.1824,0.00894471546397888,0,15.9477778536463,0.0843107642484188,0.00394879693655029,91.5559751817402,92777218403.314,1.0529668151002,0.048039221211102,TRUE
"AF002","NAM","ZAF","Coastal Sedimentary Basin V",0,0,8.76080200862509e-05,0,0,284338265.333333,0.00103068149794019,0,0,0.000116967988230279,0,0,9540290.2129902,0.00137609252214061,0,0,8.76080200862509e-05,0,0,743757346.531618,0.00103068149794019,0,0,0.000116967988230279,0,0,9540290.2129902,0.00137609252214061,0,0,8.76080200862509e-05,0,0,743757346.531618,0.00103068149794019,0,0,0.000116967988230279,0,0,9540290.2129902,0.00137609252214061,0,0.480699535977902,0.0205627750226786,0.000421589419071539,39.8937409972549,823842456735.694,0.151176362423873,0.112126782472121,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,0,8.76080200862509e-05,0,0,156837799.547549,0.00103068149794019,0,0,0.000116967988230279,0,0,9540290.2129902,0.00137609252214061,0,0,8.76080200862509e-05,0,0,743757346.531618,0.00103068149794019,0,0,0.000116967988230279,0,0,9540290.2129902,0.00137609252214061,0,TRUE
"AF003","MOZ","ZAF","Coastal Sedimentary Basin VI",0,0,0,0,0,554978745.568627,0,0,0,0,0,0.08879138125,426445977.271814,0,0,0,0,0,0,2663324808.61372,0,0,0,0,0,5.31467797720588,4725059317.19142,0.000496091882693606,0,0,0,0,0,2663324808.61372,0,0,0,0,0,10.7656317338725,5779747138.18628,0.000496091882693606,0,2.30261628540028,0.0100964123702317,0,421.436170067279,787267440440.648,2.09123474601939,0,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,0,0,0,0,296216200.251225,0,0,0,0,0,0,199712135.576716,0,0,0,0,0,0,2663324808.61372,0,0,0,0,0,10.7656317338725,5779747138.18628,0.000496091882693606,0,TRUE
"AF004","MOZ","SWZ","Rhyolite-Breccia Aquifer",0,0,0,0,0.867828966593137,924916181.036274,0,0,0.414946441514703,0.00458896143087208,0,0.742814856053922,1109176270.30931,0.228727582785692,0,0,0,0,1.05380128855392,1653081185.20735,0,0,1.48357325890466,0.0199947136931775,0,2.61544549980392,2411990950.12574,1.00390057419424,0,0,0,0,1.05380128855392,1653081185.20735,0,0,1.48357325890466,0.0199947136931775,0,2.61544549980392,2411990950.12574,1.00390057419424,0,2.30261628540028,0.0100964123702317,0,421.436170067279,787267440440.648,2.09123474601939,0,3.23967279725048,0.0397213589862511,0,22.748323391397,17382792810.6453,1.99046878985923,0,0,0,0,0.867828966593137,527449966.869363,0,0,0.0774036149612306,0.00023106577621853,0,0.742814856053922,569341421.943382,0.0115170102287061,0,0,0,0,1.05380128855392,1653081185.20735,0,0,1.48357325890466,0.0199947136931775,0,2.61544549980392,2411990950.12574,1.00390057419424,0,TRUE
"AF004","SWZ","ZAF","Rhyolite-Breccia Aquifer",0,0.414946441514703,0.00458896143087208,0,0.742814856053922,1109176270.30931,0.228727582785692,0,0.000185488015559882,0,0,0,45361745.9367647,0,0,1.48357325890466,0.0199947136931775,0,2.61544549980392,2411990950.12574,1.00390057419424,0,0.000185488015559882,0,0,0,45361745.9367647,0,0,1.48357325890466,0.0199947136931775,0,2.61544549980392,2411990950.12574,1.00390057419424,0,0.000185488015559882,0,0,0,45361745.9367647,0,0,3.23967279725048,0.0397213589862511,0,22.748323391397,17382792810.6453,1.99046878985923,0,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,0.0774036149612306,0.00023106577621853,0,0.742814856053922,569341421.943382,0.0115170102287061,0,0.000185488015559882,0,0,0,45361745.9367647,0,0,1.48357325890466,0.0199947136931775,0,2.61544549980392,2411990950.12574,1.00390057419424,0,0.000185488015559882,0,0,0,45361745.9367647,0,0,TRUE
"AF005","BWA","NAM","Stampriet Transboundary Aquifer System",2,0,0,0,0,6938906910.89534,0,0,0,0,0,0,4421591036.74951,0,0,0,0,0,0,52037330892.2326,0,0,0,0,0,0,41329186212.8828,0,0,0,0,0,0,63488425140.2397,0,0,0.00120067399127401,0,0,0,68153251999.8324,0,0,0.00518828918269308,0.00149565058831661,0.000108010983933658,102.700885441765,577880618550.311,0.0267169631639609,0.00431277697504037,0.480699535977902,0.0205627750226786,0.000421589419071539,39.8937409972549,823842456735.694,0.151176362423873,0.112126782472121,0,0,0,0,3592901216.90343,0,0,0,0,0,0,2313440260.97892,0,0,0,0,0,0,63488425140.2397,0,0,0,0,0,0,67208138707.5179,0,0,FALSE
"AF005","BWA","ZAF","Stampriet Transboundary Aquifer System",2,0,0,0,0,6938906910.89534,0,0,0,0,0,0,7458576149.96397,0,0,0,0,0,0,52037330892.2326,0,0,0,0,0,0,31444603068.1703,0,0,0,0,0,0,63488425140.2397,0,0,0,0,0,0,32711798056.448,0,0,0.00518828918269308,0.00149565058831661,0.000108010983933658,102.700885441765,577880618550.311,0.0267169631639609,0.00431277697504037,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,0,0,0,0,3592901216.90343,0,0,0,0,0,0,3805939845.47304,0,0,0,0,0,0,63488425140.2397,0,0,0,0,0,0,32711798056.448,0,0,FALSE
"AF005","NAM","ZAF","Stampriet Transboundary Aquifer System",2,0,0,0,0,4421591036.74951,0,0,0,0,0,0,7458576149.96397,0,0,0,0,0,0,41329186212.8828,0,0,0,0,0,0,31444603068.1703,0,0,0.00120067399127401,0,0,0,68153251999.8324,0,0,0,0,0,0,32711798056.448,0,0,0.480699535977902,0.0205627750226786,0.000421589419071539,39.8937409972549,823842456735.694,0.151176362423873,0.112126782472121,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,0,0,0,0,2313440260.97892,0,0,0,0,0,0,3805939845.47304,0,0,0,0,0,0,67208138707.5179,0,0,0,0,0,0,32711798056.448,0,0,FALSE
"AF006","BWA","ZAF","Khakhea-Bray Dolomite Transboundary Aquifer",2,0,0,0,0,448191795.093627,0,0,0.00049920820302165,0,0,0,430356516.381127,0,0,0,0,0,0,1807011490.69461,0,0,0.0722439030766248,0,0,0.211513510588235,3568072990.64951,0,0,0,0,0,0,1807011490.69461,0,0,0.0722439030766248,0,0,0.211513510588235,3568072990.64951,0,0,0.00518828918269308,0.00149565058831661,0.000108010983933658,102.700885441765,577880618550.311,0.0267169631639609,0.00431277697504037,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,0,0,0,0,266846051.638971,0,0,0,0,0,0,217746434.737255,0,0,0,0,0,0,1807011490.69461,0,0,0.0722439030766248,0,0,0.211513510588235,3568072990.64951,0,0,FALSE
"AF007","BWA","ZAF","Ramotswa",2,0,0,0,1.86315317073529,55271377.5830882,0,0,0,0,0,0.14345560247549,90402103.570098,0,0,0,0,0,1.86315317073529,56913013.8715686,0,0,0,0,0,0.14345560247549,137110217.356127,0,0,0,0,0,1.86315317073529,56913013.8715686,0,0,0,0,0,0.14345560247549,137110217.356127,0,0,0.00518828918269308,0.00149565058831661,0.000108010983933658,102.700885441765,577880618550.311,0.0267169631639609,0.00431277697504037,270.236683531941,2.17458564197634,1.56332816133476,1998.35514863902,1219699581630.85,26.7980008099093,18.9429219932553,0,0,0,1.42403684786765,22038963.1752451,0,0,0,0,0,0.14345560247549,51512221.8848039,0,0,0,0,0,1.86315317073529,56913013.8715686,0,0,0,0,0,0.14345560247549,137110217.356127,0,0,TRUE
