system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,.geo
2_000000000000000006d7,Canada,7040192420,79993.3359422575,,53.89255874541933,4,-102.88811021904164,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006d8,Canada,7040021740,289482.768136623,,56.21048455769825,4,-103.935517790778,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006dd,Canada,7040021620,50512.345524026,,58.71267080413638,4,-98.95795439065456,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006de,Canada,7040022240,102303.5809349,,55.0173493165774,4,-97.42223316318263,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006e0,Canada,7040022270,105663.463334097,,54.929833797194846,4,-93.8356186387696,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000006e1,Canada,7040022840,101605.770551746,,53.888454986017024,4,-91.00215159858989,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000159f,Canada,7040024840,21525.3412386479,,50.78873942872234,4,-76.5301579729601,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015a0,Canada,7040024900,13135.5545316812,,51.79398746493947,4,-77.52698139346975,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015a3,Canada,7049000470,4048.58195829975,,54.47446310229752,4,-69.6670282763621,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015a4,Canada,7040025100,16170.7059661505,,53.02959284079007,4,-78.10944644332618,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015a5,Canada,7040426310,33073.5692229924,,46.5262216106749,4,-82.5726001169396,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015a6,Canada,7040024300,6838.19705143507,,51.73181304277846,4,-81.35182009909873,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015a7,Canada,7040033110,16136.6824677895,,51.74330280914459,4,-62.167414532326674,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001846,Chile,6040028300,77723.4368556118,,-24.825303849454023,4,-69.82748318745038,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007c,China,4040050470,62754.8801047924,,31.518071444452897,4,89.17532643210608,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007e,China,4040050610,63055.7151720755,,30.89643341426829,4,85.1946567295804,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007f,China,4040050780,41166.7207765208,,32.100600937402334,4,85.82371993474658,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000080,China,4040050950,55630.6864494583,,33.08135258072419,4,89.13362930149563,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000081,China,4040051270,70180.238977995,,33.45059327848252,4,85.69054999856681,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000010b4,China,4040050410,144518.213348524,,42.512901305438646,4,91.52564770736049,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000010b5,China,4040050280,101532.531462277,,39.857384747463755,4,95.46204555628726,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000010b6,China,4040050210,82663.9966842979,,40.49443938437082,4,91.53096414764887,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000010b7,China,4040449660,89959.0932400009,,41.84746509404977,4,86.74365060640818,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001122,China,4040006940,3748.08256765392,,39.91700932876071,4,119.30434822960063,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001123,China,4040007090,10043.7459788236,,39.463573701246204,4,118.12722393183736,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001124,China,4040007670,3787.29318907682,,37.86122012262178,4,118.48131307202047,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001125,China,4040007380,9835.29858039977,,39.943471762178156,4,117.6007706307686,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001126,China,4040007420,20346.5939250468,,37.6933903159552,4,116.77536303044042,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000116d,China,4040012780,8104.61844826834,,23.07487410790169,4,113.39968241244905,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000139b,China,4040006580,37167.0848481755,,41.31332081969954,4,120.48017081793745,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000139c,China,4040009880,4421.93550415931,,32.34554979898763,4,120.00904641235874,"{""type"":""MultiPoint"",""coordinates"":[]}"
