system:index,CC,CntryNm,GW,Ir,IrNeed0,IrNeed3,IrNeed6,OverGW0,OverGW3,OverGW6,OverIR0,OverIR3,OverIR6,Region,aq_id,code,countrs,crp,dummy,name,.geo
2_000000000000000001e5,BLZ,Belize,0.0,0.0,0.012706417096653802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,362,C008,Belize; Guatemala,0.012706417096653802,,Mop�n-Belice,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e6,GTM,Guatemala,0.0,0.0,2.276718785463605E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,362,C008,Belize; Guatemala,2.276718785463605E-6,,Mop�n-Belice,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e7,BLZ,Belize,0.0,0.0,8.819617602167044E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,361,C009,Belize; Guatemala,8.819617602167044E-4,,Pusila-Moho,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e8,GTM,Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,361,C009,Belize; Guatemala,0.0,,Pusila-Moho,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e9,BLZ,Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,364,C010,Belize; Guatemala,0.0,,Sarst�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ea,GTM,Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,364,C010,Belize; Guatemala,0.0,,Sarst�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001eb,BLZ,Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,363,C011,Belize; Guatemala,0.0,,Temash,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ec,GTM,Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,363,C011,Belize; Guatemala,0.0,,Temash,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ed,GTM,Guatemala,3.361215819278606E-8,3.9740752008206277E-4,0.00860127370884457,0.008183121189012254,0.0018406073846771675,3.361215819278606E-8,0.0,0.0,3.9740752008206277E-4,2.668050257516273E-4,0.0,AMER,57,C012,Guatemala; Honduras,0.00860127370884457,,Delta del R�o Motagua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ee,HND,Honduras,0.0,0.0,6.461736248372916E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,57,C012,Guatemala; Honduras,6.461736248372916E-4,,Delta del R�o Motagua,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ef,GTM,Guatemala,0.0,8.502280575117394E-4,0.013243938150509553,0.013243938150509553,0.006263785943714115,0.0,0.0,0.0,8.502280575117394E-4,8.41309970759834E-4,0.0,AMER,217,C013,Guatemala; Honduras,0.013243938150509553,,Chiquimula - Cop�n Ruinas,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f0,HND,Honduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,217,C013,Guatemala; Honduras,0.0,,Chiquimula - Cop�n Ruinas,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f1,HND,Honduras,0.0,0.0,0.002642953575820128,0.002642953575820128,0.002522406406396785,0.0,0.0,0.0,0.0,0.0,0.0,AMER,357,C014,El Salvador; Honduras,0.002642953575820128,,Ocotepeque-Citala,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f2,SLV,El Salvador,0.0,0.0,3.2497403358474816E-4,3.2497403358474816E-4,3.2497403358474816E-4,0.0,0.0,0.0,0.0,0.0,0.0,AMER,357,C014,El Salvador; Honduras,3.2497403358474816E-4,,Ocotepeque-Citala,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f3,GTM,Guatemala,1.4391231992336562E-5,5.413806207536213E-4,0.01061494066926199,0.01061494066926199,0.010613515889574864,1.4391231992336562E-5,0.0,0.0,5.413806207536213E-4,0.0,0.0,AMER,294,C015,El Salvador; Guatemala,0.01061494066926199,,Ostua-Metap�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f4,SLV,El Salvador,0.0,0.0,0.006447220822664871,0.006447220822664871,0.006447220822664871,0.0,0.0,0.0,0.0,0.0,0.0,AMER,294,C015,El Salvador; Guatemala,0.006447220822664871,,Ostua-Metap�n,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f5,GTM,Guatemala,0.0,0.0,0.009315082104712652,0.008673557131346234,0.008647349194130965,0.0,0.0,0.0,0.0,0.0,0.0,AMER,293,C016,El Salvador; Guatemala,0.009315082104712652,,R�o Paz,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f6,SLV,El Salvador,7.813000216538078E-4,7.813000216538078E-4,0.03587954023863853,0.0327485468427189,0.02322058998864744,7.813000216538078E-4,0.0,0.0,7.813000216538078E-4,0.0,0.0,AMER,293,C016,El Salvador; Guatemala,0.03587954023863853,,R�o Paz,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f7,HND,Honduras,4.764898556160953E-5,0.004761399585328879,0.05617104030440261,0.04192324839476575,0.02610395757824838,4.764898556160953E-5,0.0,0.0,0.004761399585328879,0.0035182060739107116,0.0,AMER,215,C017,Honduras; Nicaragua,0.05617104030440261,,Estero Real-R�o Negro,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f8,NIC,Nicaragua,3.70362282126608E-4,3.70362282126608E-4,0.022385061648876353,0.009038363234658417,4.0179338176657203E-4,3.70362282126608E-4,0.0,0.0,3.70362282126608E-4,0.0,0.0,AMER,215,C017,Honduras; Nicaragua,0.022385061648876353,,Estero Real-R�o Negro,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f9,CRI,Costa Rica,0.0,0.0,1.4410056160227505E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,219,C018,Costa Rica; Panama,1.4410056160227505E-4,,Sixaola / Salinas Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001fa,PAN,Panama,0.0,0.0,3.7130652685478686E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMER,219,C018,Costa Rica; Panama,3.7130652685478686E-4,,Sixaola / Salinas Aquifer,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001fb,DOM,Dominican Republic,0.0,0.005228611571401945,0.06449444766597072,0.0627000428676311,0.0,0.0,0.0,0.0,0.005228611571401945,0.005228611571401945,0.0,AMER,209,CB001,Dominican Republic; Haiti,0.06449444766597072,,Plaine du Nord?Massacre,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001fc,HTI,Haiti,0.0,7.527036503217804E-4,0.049606450771065035,0.007325433662054038,0.0,0.0,0.0,0.0,7.527036503217804E-4,4.4473356191147763E-4,0.0,AMER,209,CB001,Dominican Republic; Haiti,0.049606450771065035,,Plaine du Nord?Massacre,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001fd,DOM,Dominican Republic,0.0,0.004127598112446292,0.020744822612499523,0.020246461286920835,0.0031028291856309686,0.0,0.0,0.0,0.004127598112446292,0.0012842503345964395,0.0,AMER,212,CB002,Dominican Republic; Haiti,0.020744822612499523,,Artibonito,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001fe,HTI,Haiti,0.0,0.0073402577866934215,0.028995909683462655,0.028664880974092182,0.011093068513296866,0.0,0.0,0.0,0.0073402577866934215,0.0,0.0,AMER,212,CB002,Dominican Republic; Haiti,0.028995909683462655,,Artibonito,"{""type"":""MultiPoint"",""coordinates"":[]}"
