system:index,CC,CS_max,CntryNm,GWIrKHaKm2,RDS_main,RDS_mainDist,RDS_tot,Region,STS,aq_id,area_km2,code,constant,countrs,crpkHaKm2,dummy,lat_c,lon_c,name,pet_mm,prec_mm,urbkHaKm2,.geo
2_000000000000000001e4,MEX,4278.917128477542,Mexico,0.006130608248455756,4.330062580371617,13.361109786332726,302.27750021109483,AMER,4.445170500948322,365,130977.21366489293,C007,1.0,Belize; Guatemala; Mexico,0.005501384525541719,,19.636106245422628,-89.27120761410652,Pen�nsula de Yucat�n-Candelaria-Hondo,1305.0974508266643,106.6070760967944,6.571189583054812E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e5,BLZ,8421.13245920318,Belize,0.0,0.0,0.1786493314682159,525.4142941617323,AMER,4.13026015967839,362,3454.3255332542776,C008,1.0,Belize; Guatemala,0.012709098265366115,,17.044903553579665,-88.96593068445381,Mop�n-Belice,1192.9732622169395,168.14914431211125,7.465773126169652E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e6,GTM,8202.92714231091,Guatemala,0.0,0.0,7.909294047534401,104.35491465395165,AMER,3.1408684975881136,362,5099.574168506146,C008,1.0,Belize; Guatemala,2.337561385240236E-6,,16.977406398906492,-89.3898481710115,Mop�n-Belice,1200.8703876287857,170.34590872319242,1.6982728901722294E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e7,BLZ,9695.909709458869,Belize,0.0,0.0,0.5688370727675545,674.1849407467361,AMER,3.6863645227002104,361,905.9977677210906,C009,1.0,Belize; Guatemala,8.819500762218242E-4,,16.198934574128792,-89.05920426948514,Pusila-Moho,1167.1878237577807,273.059279520816,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e8,GTM,9487.3603776841,Guatemala,0.0,0.0,2.9416684749672912,153.3060486157335,AMER,4.177769765549886,361,609.9426484537997,C009,1.0,Belize; Guatemala,0.0,,16.14317364210628,-89.30661713012765,Pusila-Moho,1156.4161218258307,278.5362334796827,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001e9,BLZ,7797.870973423278,Belize,0.0,0.0,0.0,311.4972789235459,AMER,2.523415347223446,364,213.81515825509192,C010,1.0,Belize; Guatemala,0.0,,15.933688742015281,-89.09513086859991,Sarst�n,1204.3280013897588,276.320630039809,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ea,GTM,9155.769143816426,Guatemala,0.0,0.0,2.5281953772009036,264.2828440601262,AMER,4.115526085002681,364,1901.588604259029,C010,1.0,Belize; Guatemala,0.0,,15.806336348244514,-89.42115169755591,Sarst�n,1199.462683960743,283.8103664616429,1.931964663794179E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001eb,BLZ,9090.90819592322,Belize,0.0,0.0,0.0,519.7732259896684,AMER,3.2409147050603604,363,417.2425542119444,C011,1.0,Belize; Guatemala,0.0,,16.02347347654236,-89.0749119007923,Temash,1186.7534988729374,282.1633164799526,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ec,GTM,9992.583308845135,Guatemala,0.0,0.0,0.3686933374911903,383.32632970908014,AMER,4.229246253305905,363,51.33306307172258,C011,1.0,Belize; Guatemala,0.0,,16.016144257189918,-89.26999665008016,Temash,1170.8663907292146,282.9343894424706,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ed,GTM,8920.802815417548,Guatemala,1.552921746141752E-4,11.597869268917723,1.2403286496732273,737.5645237659539,AMER,4.361138955437844,57,12411.874667780003,C012,1.0,Guatemala; Honduras,0.008750715731081996,,15.01936086212747,-89.83325950830282,Delta del R�o Motagua,1189.670869301535,143.38161489762552,0.0070492704867716974,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ee,HND,8423.569878472226,Honduras,0.0,0.0,11.211267437567649,161.37565104166674,AMER,4.055555555555557,57,17.493547358160896,C012,1.0,Guatemala; Honduras,1.7559895019231037E-4,,15.372282296880662,-88.67514372281876,Delta del R�o Motagua,1199.5972912720968,159.2499687631524,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001ef,GTM,7844.2024893969865,Guatemala,4.1740940988130884E-4,0.0,0.0,476.21853265041915,AMER,4.592665707443481,217,2311.913218679885,C013,1.0,Guatemala; Honduras,0.012069243110405541,,14.756425867240806,-89.46888529139295,Chiquimula - Cop�n Ruinas,1249.473602054228,102.28384891455975,0.0035960988050428005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000001f0,HND,5296.6069480333035,Honduras,0.0,0.0,0.0,467.0591444157335,AMER,5.949325294286535,217,13.21007446771598,C013,1.0,Guatemala; Honduras,0.0,,14.785467547074102,-89.184382379215,Chiquimula - Cop�n Ruinas,1223.6233458617176,118.33123656896267,0.00281406209086994,"{""type"":""MultiPoint"",""coordinates"":[]}"
