system:index,CC,CntryNm,Region,aq_id,code,countrs,dummy,name,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
2_0000000000000000012a,UZB,Uzbekistan,EUCA,161,AS060,Kyrgyzstan; Uzbekistan,,Almos-Vorzik Aquifer,0.5829856159736608,4.094885241067944,23.152347244357628,5.555835054892569,6.54296299449917,7.588298398393626,8.939851579427685,10.84945852476398,12.061983510212873,13.321575294051275,15.043917343534767,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000012b,KGZ,Kyrgyzstan,EUCA,151,AS061,Kyrgyzstan; Uzbekistan,,Kasansay Aquifer,0.082969924063612,0.12151033295730512,0.16005074185099824,0.16005074185099824,0.16005074185099824,0.16005074185099824,0.16005074185099824,0.16005074185099824,0.16005074185099824,0.16005074185099824,0.16005074185099824,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000012c,UZB,Uzbekistan,EUCA,151,AS061,Kyrgyzstan; Uzbekistan,,Kasansay Aquifer,0.009364387283754593,0.7315106105888963,8.068277646364633,1.22465407237256,1.8147888512945072,2.5406091706195206,3.156430079802515,3.6510560217128156,4.176116820573761,5.270356057021041,6.856443529553253,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000012d,KGZ,Kyrgyzstan,EUCA,150,AS062,Kyrgyzstan; Uzbekistan,,Nanay,0.032820260153201455,0.3156002027272378,0.7301687292414135,0.3675467774931192,0.44156662561017773,0.5375354782563948,0.5375354782563948,0.5375354782563948,0.6532418630142405,0.6532418630142405,0.7301687292414135,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000012e,UZB,Uzbekistan,EUCA,150,AS062,Kyrgyzstan; Uzbekistan,,Nanay,0.032820260153201455,0.09507929862485938,2.5032120097662993,0.3156002027272378,0.43432767051681054,0.6155838369863136,0.7030899055890938,0.9016259017671331,1.179660255423767,1.5190035635992187,1.9583675036823953,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000012f,KGZ,Kyrgyzstan,EUCA,162,AS063,Kyrgyzstan; Uzbekistan,,Iskovat-Pishkaran Aquifer,0.12491356357254996,0.1754435507709541,0.7802397207430801,0.18775445149880446,0.18775445149880446,0.18775445149880446,0.2420925663999537,0.28195370695357835,0.4438896153737884,0.6274732364071698,0.6808853508963485,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000130,UZB,Uzbekistan,EUCA,162,AS063,Kyrgyzstan; Uzbekistan,,Iskovat-Pishkaran Aquifer,0.019272238728226376,1.849086639990031,16.683953402681528,3.433290624332367,4.711311289339909,5.689025877255304,6.558840824619949,7.696839951680957,8.825854906640425,10.077646345374097,11.947227461120978,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000131,KGZ,Kyrgyzstan,EUCA,164,AS064,Kyrgyzstan; Uzbekistan,,Naryn Aquifer,0.04086483661076939,0.04086483661076939,0.6718723712722359,0.06562000970790881,0.06562000970790881,0.06562000970790881,0.26044532265974607,0.26044532265974607,0.342048562902521,0.37089221602772676,0.37089221602772676,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000132,UZB,Uzbekistan,EUCA,164,AS064,Kyrgyzstan; Uzbekistan,,Naryn Aquifer,0.04086483661076939,3.6509895737861333,44.07623239069934,7.114406952216457,11.6088003796875,15.616916251867925,19.610847238121956,24.111795407899596,28.13848080283985,31.63735618831791,36.09571157035446,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000133,KGZ,Kyrgyzstan,EUCA,148,AS065,Kyrgyzstan; Uzbekistan,,Yarmazar,0.5073859526117024,0.5073859526117024,0.5073859526117024,0.5073859526117024,0.5073859526117024,0.5073859526117024,0.5073859526117024,0.5073859526117024,0.5073859526117024,0.5073859526117024,0.5073859526117024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000134,UZB,Uzbekistan,EUCA,148,AS065,Kyrgyzstan; Uzbekistan,,Yarmazar,0.008563762817869539,1.4391607161549445,17.974610810109663,2.990506363504141,5.330350010260503,6.479965123999228,9.03569380838641,10.191588577167032,11.606123503408774,13.433919002587006,14.949953421550141,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000135,KGZ,Kyrgyzstan,EUCA,149,AS066,Kyrgyzstan; Uzbekistan,,Chimion-Aval,5.111606028448236E-4,5.111606028448236E-4,0.9138382440389152,0.10118428879024137,0.10118428879024137,0.10118428879024137,0.20044326313430752,0.321623739001258,0.321623739001258,0.3941252707335034,0.49333341022966104,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000136,UZB,Uzbekistan,EUCA,149,AS066,Kyrgyzstan; Uzbekistan,,Chimion-Aval,5.111606028448236E-4,0.41481995464253274,9.15348557618117,0.9636462744307642,1.6448742975066886,2.1462139471494353,2.7908558258815237,3.793708245261496,4.586792173246559,5.4040491061181966,6.548996120129674,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000137,UZB,Uzbekistan,EUCA,163,AS067,Kyrgyzstan; Uzbekistan,,Maylusu Aquifer,0.13096319260445274,2.076094379714422,20.145767944959633,3.342592180373228,4.690538311343602,6.046547399042341,7.308942948818029,8.92777283280352,10.823059122409017,13.318484576750269,16.06139101812482,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000138,KGZ,Kyrgyzstan,EUCA,159,AS068,Kyrgyzstan; Uzbekistan,,Karaungur,0.1548022316408627,0.1548022316408627,0.3766656685077843,0.25833333084571114,0.28993701546423656,0.28993701546423656,0.28993701546423656,0.3766656685077843,0.3766656685077843,0.3766656685077843,0.3766656685077843,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000139,UZB,Uzbekistan,EUCA,159,AS068,Kyrgyzstan; Uzbekistan,,Karaungur,0.1548022316408627,1.2320341577978855,13.700193434686595,1.558348639627941,2.174754676360382,2.853254771761134,3.3323010386917082,4.4514026026022755,5.385130080544218,6.972568952037014,7.954085787587841,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000013a,KGZ,Kyrgyzstan,EUCA,173,AS069,Kyrgyzstan; Uzbekistan,,Osh-Aravan Aquifer,0.013007899116720551,0.18253495747982146,2.002602995410704,0.32585608882629674,0.4538723423617769,0.5607027082088768,0.6247271957626775,0.7814615950317783,0.9637986218880421,1.2398272564359594,1.5273794008023742,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000013b,UZB,Uzbekistan,EUCA,173,AS069,Kyrgyzstan; Uzbekistan,,Osh-Aravan Aquifer,0.013007899116720551,0.9409011070884999,16.311738882207163,1.8094683570696657,2.561272655550203,3.4359385937145923,4.3003066395878555,5.326339243487114,6.437228160414647,7.669472250421212,9.549094754873613,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000013d,TJK,Tajikistan,EUCA,175,AS070,Afghanistan; Tajikistan,,Vakhsh Aquifer,2.9644940199612737,3.0883720270561628,5.740060430989757,3.343227578779607,3.635687540880142,3.644728515876707,3.9349270648180417,4.061885217985646,4.2780638419615045,4.8532545474108835,4.991301556042298,"{""type"":""MultiPoint"",""coordinates"":[]}"
