system:index,CntrName,HYBAS_ID,area_km2,dummy,lat,lev,lon,p0,p10,p100,p20,p30,p40,p50,p60,p70,p80,p90,.geo
2_00000000000000000a16,Cameroon,1071038390,746.839228698198,,4.081221111917779,7,11.248603835085834,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a17,Cameroon,1071035030,770.929802418927,,4.162909396502498,7,11.382641219238705,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a18,Cameroon,1071002060,4988.08923356073,,5.854967638772044,7,11.032833568220191,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a19,Cameroon,1070021410,5534.21609939368,,3.154195472258239,7,10.612489797088926,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a1a,Cameroon,1071055270,5217.28371564249,,3.450848024460084,7,11.030400630302534,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a1b,Cameroon,1070021390,1415.54968148617,,2.860048576470837,7,10.292957006203883,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a1c,Cameroon,1071032520,5884.60161047056,,4.282180796685378,7,11.74995265405269,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a1d,Cameroon,1070021370,2295.74930567284,,2.636634428280283,7,10.144389337339343,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a1e,Cameroon,1071002200,6519.06452668573,,5.790729925617723,7,11.904814324127523,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a1f,Cameroon,1071029830,4397.59031455754,,5.045944743703624,7,12.198814151299537,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a20,Cameroon,1071086920,3232.99779348671,,2.680707047704122,7,11.006763391178621,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a21,Cameroon,1071059840,3102.40666681953,,3.116449312329609,7,11.643101609703558,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000a23,Cameroon,1071062840,3698.34846141846,,3.247526738722951,7,12.123865566700916,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000572,Canada,7070298300,142.530004239207,,49.35165304120521,7,-117.54565139908439,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000573,Canada,7070259380,11.4059500406837,,50.84139348758367,7,-119.02064226021648,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000576,Canada,7070237070,74.2471104242873,,51.61121497144892,7,-120.01065797613533,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000579,Canada,7070274850,44.6362008802717,,50.25977840853198,7,-121.61379129695574,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000057a,Canada,7070263320,50.583363833425,,50.717340498172064,7,-121.93653128116833,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000583,Canada,7070174590,17.1767062793443,,54.07703759013318,7,-122.54010531592736,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000584,Canada,7070240590,23.2786106454239,,51.52138863378737,7,-112.86362171310736,280.37652529273294,280.37652529273294,283.37586818501273,280.37652529273294,280.37652529273294,281.37630420948574,281.37630420948574,281.37630420948574,281.37630420948574,282.37608517363157,282.37608517363157,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000585,Canada,7070197340,31.0788143259201,,53.135644065278925,7,-123.61551612532023,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000058c,Canada,7070017620,36.5817732502382,,51.69310436786323,7,-126.60579484362565,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000058e,Canada,7070018030,52.2926678012638,,52.86824061720043,7,-127.00337093005099,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000594,Canada,7070157710,53.9359488385072,,54.81627707363228,7,-109.68018267639833,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000596,Canada,7070018600,157.043395820067,,53.37539618271376,7,-127.97001235655756,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b91,Central African Rep.,1070908040,332.286046209286,,7.90846031611664,7,23.455345853219537,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b94,Central African Rep.,1070908300,2089.30371238053,,7.849648574964371,7,23.769697134771576,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000b9b,Central African Rep.,1070924210,1592.88142259014,,7.659108583487213,7,22.972922006455097,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000189d,Chile,6070725260,734.6254765313,,-20.942976372737213,7,-69.06223353343756,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000189e,Chile,6070718050,1936.98068756389,,-20.634797695239175,7,-69.03813736961274,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000189f,Chile,6070729670,1683.85428271521,,-21.14610646004868,7,-69.06414019887399,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018a0,Chile,6070721550,562.11583399072,,-20.7602181687689,7,-69.23722537902078,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018a1,Chile,6070729170,959.793691826112,,-21.064079550958443,7,-69.33094441512657,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018a2,Chile,6070725250,1088.91029683688,,-20.873083693060188,7,-69.35707826041372,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018a3,Chile,6070731570,3558.14698380912,,-21.517541006043494,7,-69.11812786243813,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018a5,Chile,6070731470,550.440621564791,,-21.291883428151294,7,-69.44650782944204,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018a6,Chile,6070721470,691.67372760459,,-20.682580675906184,7,-69.5940495910006,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018a7,Chile,6070732550,363.383479295566,,-21.417422490990326,7,-69.65684370704099,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
