system:index,CS_max,CntrName,GWIrKHaKm2,HYBAS_ID,RDS_main,RDS_mainDist,RDS_tot,STS,area_km2,constant,crpkHaKm2,dummy,lat,lat_c,lev,lon,lon_c,pet_mm,prec_mm,urbkHaKm2,.geo
1_NA,7597.628408292534,NA,0.905309408838978,NA,0.0,0.0,376.40430016393265,1.4063632612550316,310.4060072301417,1.0,0.7974759946449373,1,NA,27.809195581130957,NA,NA,79.61936027414761,1217.4120415099944,76.99849517242001,0.02573968119438002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000082,-1.0,China,0.0,4020050470,0.0,495.3199734197513,20.705119799865674,7.641111265220435,590847.0894757877,1.0,1.493333753078721E-7,,33.17842003195272,33.177352244945446,2,86.39186370211848,86.39788608620316,346.4136182139149,16.15876211048137,8.398952330920847E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192c,9612.766119328777,Argentina,0.001604954432931529,6030017370,0.0,0.35698179604598074,373.6391024799346,2.193386957328617,392255.0442159344,1.0,0.37035909180099613,,-36.37741812785376,-36.372619301855245,3,-61.96125808545899,-61.99164131424919,1092.666668686705,64.183531871887,2.790235023528189E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192d,7521.570211244465,Brazil,1.4107081587293887E-4,6030011790,2.7185127302027285,5.333058595529419,171.86473377712971,3.9166548739401517,576094.5683057914,1.0,0.004764122138982271,,-16.498187506777313,-16.432460506906477,3,-41.12546788656452,-41.07580783256171,1042.8171265124338,77.81699407278806,0.0015975328431688108,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000015b4,2849.148341554161,Canada,0.0,7030021430,0.0,750.5242722150119,15.544440972102294,5.932191632004278,398714.4326025696,1.0,0.004097194690023692,,56.85067278895671,56.8820787481559,3,-102.148421824661,-102.44369738221036,394.32136644100314,40.43673319201385,2.874321494779838E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e,5253.3834857630245,India,0.13499597848550648,4030029530,0.7370627060879644,0.26516116923547206,375.7627241853394,3.631105583437915,316992.1478030605,1.0,0.2502886166936037,,19.528640209897958,19.445082702917926,3,75.70074178318879,75.689748225473,1338.994058191244,154.4538416820617,0.011824702990125117,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000007e1,5177.517389345875,Mozambique,0.0,1030011530,0.0,50.264291073274165,31.477474675820247,2.288747040109975,4421.377216825807,1.0,0.0015657735789373743,,-18.29553202259123,-18.295429080299748,3,36.38276057117045,36.38278060697664,1225.3332696683474,89.4586149115611,3.4340151905484345E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000838,7844.356998273844,Angola,0.0,1040019180,0.0,6.055659130493122,222.1124442409427,3.2691718845583098,22907.899175518363,1.0,0.009387886989234403,,-11.739515642619544,-11.739029468885215,4,15.218116307556416,15.216414445695897,1132.4832547792712,119.2603213122688,7.05029592112901E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000839,7830.133312875764,Angola,0.0,1040019270,0.0,36.91498146461525,93.39148794863254,3.1889088665745318,22892.172896328688,1.0,0.003963613033260784,,-10.527082062672863,-10.527279367425031,4,14.704236892658637,14.703085593123895,1069.1506868751012,92.09765191246807,2.0126163407789191E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c33,7778.0,Angola,0.0,1040019280,0.0,22.455404706879996,92.99751162365337,2.5603600737196586,3212.614567753602,1.0,0.0,,-9.686161459872338,-9.686133020885872,4,13.500785068015904,13.500791042098431,995.2245451069198,60.848452989544356,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000c35,8053.526082608877,Angola,0.0,1040019190,0.0,18.126514496499176,100.45474488282933,3.8016358790225295,1081.2198118294768,1.0,0.0010147067282122223,,-10.574395979976885,-10.574385339495228,4,13.8087335684084,13.808642911218259,1079.0687265032643,49.76343740205466,0.0017230348010398174,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000192f,9322.084588013218,Argentina,2.80717060724311E-5,6040017380,0.0,0.04650253732683229,405.3750838986239,2.3760738574292732,86109.2485496517,1.0,0.2714716851414352,,-36.13588214244042,-36.13132719985247,4,-59.993462823173445,-59.9887994540515,1017.3624297462181,79.61740575104226,3.1289720387414144E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001930,8471.100873212088,Argentina,0.0010070967107252032,6040017530,0.0,0.07663313339552545,331.7920117304329,3.0805833549353494,17421.2507104627,1.0,0.1289456419201319,,-36.941233854080814,-36.940934539775725,4,-58.19489204106952,-58.19159328588102,897.6610777763198,77.06081453147506,3.477076188537929E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001931,8547.801497800034,Argentina,0.014528576345701705,6040017540,0.0,0.036547611694101735,350.93523625709327,2.997324154924392,17652.68103534542,1.0,0.2436581542913641,,-37.563001638502215,-37.560533812221536,4,-57.72916156577867,-57.72250131440015,888.538752026629,76.38937044759413,0.0013236483749264009,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001932,9807.163801505287,Argentina,0.00715379202712373,6040017980,0.0,0.5752612765462364,353.60663687562214,1.9967554617591257,11733.670140999604,1.0,0.5751256847440227,,-38.41879694957459,-38.418713585474876,4,-59.8725258744565,-59.873028290067495,1017.2688760531978,69.65670083210046,3.0350832284481503E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001933,9868.845264323576,Argentina,0.0,6040018290,0.0,1.4003602553729184,353.3393811635444,3.1334234415521824,43879.4902263595,1.0,0.2580256181234081,,-38.58977214200496,-38.59191677381372,4,-62.87431614742818,-62.87774415905734,1176.5773264470251,48.39872757391888,2.944087026240064E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001934,8788.194665340667,Argentina,0.0,6040933800,0.0,2.2375900320260276,227.03679501371545,1.993928576676748,58969.5591874414,1.0,0.0013546920104510261,,-37.1833063191982,-37.17517747581802,4,-66.31352904467009,-66.32410981356584,1192.4129128168745,30.67991459899918,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001935,8278.764798765122,Argentina,0.0,6040018850,0.0,0.4691398697360112,253.35254688715742,2.8439572488394687,27381.94311857781,1.0,0.03855162618688209,,-39.446722104258114,-39.44828186408661,4,-64.17395749355306,-64.17889303432666,1252.0137991848176,29.17022238903509,4.353934050170142E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001936,9921.551976610406,Argentina,0.0010323625935824492,6040040510,0.0,0.1721525304262106,373.30625658416324,1.7263372020784347,193457.45099595774,1.0,0.4631033472813738,,-35.50481225797303,-35.49337178958776,4,-63.74330835198792,-63.75376978482621,1161.4727265187805,57.6341890795916,1.6255794695043717E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000193c,9296.802829499551,Argentina,0.005034337816845625,6040017970,0.0,0.0,374.3988654111393,2.224646140485645,10322.154635915163,1.0,0.4274098324912692,,-37.8692387024269,-37.869097757706896,4,-59.37739533024674,-59.37939381905899,947.4394715775243,70.52217458333905,3.691072711812214E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000193d,9765.488742442527,Argentina,0.0012205939330968763,6040018280,0.0,0.06287019387016293,377.9221174486066,2.297961181437754,9896.959479236162,1.0,0.3604030511813709,,-38.02109221490148,-38.02036482237845,4,-60.88829016194787,-60.887735481346255,1031.2769766742297,68.52483988452526,8.124471875689094E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001995,1739.4225163553403,Argentina,0.0,6040862810,0.0,36.269036276335314,54.503253313746534,3.6771488215824313,27497.976660045893,1.0,4.293066540656923E-4,,-29.245111534564625,-29.240304953825692,4,-68.29727946918874,-68.29930595512323,1176.910571340645,12.831588207472528,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000475,9496.015465711342,Belarus,0.0,2040363700,37.13339199236456,2.2631401560062647,550.504778848366,1.959877816684739,24894.724349408414,1.0,0.13299326832496602,,53.800294936126505,53.79218735594591,4,28.72163163271846,28.73398990053518,531.874513652292,56.151721654860886,0.0013723399732599852,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f0,7760.595952025845,Brazil,0.01035486503442214,6040639910,0.0,5.169785539899817,126.46510874549155,3.394542613434155,45168.192111854696,1.0,0.054039677060794676,,-17.163948117198174,-17.162326697813935,4,-46.36564725244248,-46.367157458413715,1115.7276885263386,98.77481059884953,2.3481536625769521E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f1,4830.255667930919,Brazil,0.0,6040476800,0.0,34.91199420741404,56.53007840704058,3.55179771156429,52758.89737416982,1.0,0.00748806964358726,,-11.59095381175895,-11.588611024283216,4,-49.818932606572936,-49.81892159097439,1184.322422481397,124.82748696629947,4.570018357841755E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f2,8155.026640223691,Brazil,0.002703527553889717,6040595200,0.0,8.92401431674243,96.21628495577217,3.282150404265633,52028.16660027743,1.0,0.03952602506238688,,-15.679349316873273,-15.679890146833085,4,-45.377628454795335,-45.37665559119608,1192.3742577207622,84.07482070441719,1.5233873533670468E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f3,5984.863744768293,Brazil,0.0,6040476790,0.0,30.71520789285484,58.24961947456337,3.30498163172624,32437.8295842046,1.0,0.0025737137854776587,,-10.887753422847169,-10.887039970745253,4,-51.17709432651214,-51.176630614384756,1177.4749712685193,133.01458548928622,7.377776003020631E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000018f4,6808.367018138044,Brazil,0.004070531562232985,6040562010,0.0,7.996523486974435,99.89767993518095,3.387353552056931,34406.28398416479,1.0,0.07183639308104646,,-13.59710995117257,-13.597212588529876,4,-45.056054773562145,-45.05465000477897,1262.892391643157,76.66019951575336,1.0086477025054908E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
