"unit_id","Aquifer","shapeGroup","q_min_cms","has_crossing_river","n_crossing_rivers","n_meander_rivers","max_q_crossing_cms","side","min_depth_km","n_border_points","n_reaches_window"
"Abbotsford-Sumas Aquifer_CAN","Abbotsford-Sumas Aquifer","CAN",10,FALSE,0,0,NA,NA,NA,NA,0
"Abbotsford-Sumas Aquifer_USA","Abbotsford-Sumas Aquifer","USA",10,FALSE,0,0,NA,NA,NA,NA,0
"Alsatian Aquifer and Upper Rhine Valley_CHE","Alsatian Aquifer and Upper Rhine Valley","CHE",10,FALSE,0,0,NA,NA,NA,NA,122
"Alsatian Aquifer and Upper Rhine Valley_DEU","Alsatian Aquifer and Upper Rhine Valley","DEU",10,TRUE,1,0,1301.12793140876,"downstream",19.2129910657049,147,122
"Alsatian Aquifer and Upper Rhine Valley_FRA","Alsatian Aquifer and Upper Rhine Valley","FRA",10,TRUE,1,0,1301.12793140876,"upstream",19.2129910657049,148,122
"Avra Valley_MEX","Avra Valley","MEX",10,FALSE,0,0,NA,NA,NA,NA,0
"Avra Valley_USA","Avra Valley","USA",10,FALSE,0,0,NA,NA,NA,NA,0
"Bajo Rio Bravo_MEX","Bajo Rio Bravo","MEX",10,FALSE,0,2,NA,NA,NA,NA,55
"Bajo Rio Bravo_USA","Bajo Rio Bravo","USA",10,FALSE,0,2,NA,NA,NA,NA,55
"Bari Doab_IND","Bari Doab","IND",10,TRUE,1,0,2946.65981188361,"upstream",62.2490122174244,22,415
"Bari Doab_PAK","Bari Doab","PAK",10,TRUE,1,0,2946.65981188361,"downstream",60.8726864328045,26,415
"Barind Tract and Central Floodplains_BGD","Barind Tract and Central Floodplains","BGD",10,TRUE,1,0,34830.5233461089,"upstream",44.8991163522721,40,710
"Barind Tract and Central Floodplains_IND","Barind Tract and Central Floodplains","IND",10,TRUE,1,0,34830.5233461089,"downstream",44.5040707316449,40,710
"Central Karoo Basin_LSO","Central Karoo Basin","LSO",10,FALSE,0,0,NA,NA,NA,NA,0
"Central Karoo Basin_ZAF","Central Karoo Basin","ZAF",10,FALSE,0,0,NA,NA,NA,NA,0
"Central Maputaland Coastal Plain_MOZ","Central Maputaland Coastal Plain","MOZ",10,FALSE,0,0,NA,NA,NA,NA,0
"Central Maputaland Coastal Plain_SWZ","Central Maputaland Coastal Plain","SWZ",10,FALSE,0,0,NA,NA,NA,NA,0
"Central Maputaland Coastal Plain_ZAF","Central Maputaland Coastal Plain","ZAF",10,FALSE,0,0,NA,NA,NA,NA,0
"Central Parana Basin and Torres Syncline_ARG","Central Parana Basin and Torres Syncline","ARG",10,FALSE,0,0,NA,NA,NA,NA,0
"Central Parana Basin and Torres Syncline_BRA","Central Parana Basin and Torres Syncline","BRA",10,FALSE,0,0,NA,NA,NA,NA,0
"Central Parana Basin and Torres Syncline_PRY","Central Parana Basin and Torres Syncline","PRY",10,FALSE,0,0,NA,NA,NA,NA,0
"Central Vienna Basin_AUT","Central Vienna Basin","AUT",10,FALSE,0,0,NA,NA,NA,NA,0
"Central Vienna Basin_SVK","Central Vienna Basin","SVK",10,FALSE,0,0,NA,NA,NA,NA,0
"Chaj Doab_IND","Chaj Doab","IND",10,FALSE,0,1,NA,NA,NA,NA,176
"Chaj Doab_PAK","Chaj Doab","PAK",10,FALSE,0,1,NA,NA,NA,NA,176
"Cheb Basin_CZE","Cheb Basin","CZE",10,FALSE,0,0,NA,NA,NA,NA,0
"Cheb Basin_DEU","Cheb Basin","DEU",10,FALSE,0,0,NA,NA,NA,NA,0
"Chittagong Coast Aquifer_BGD","Chittagong Coast Aquifer","BGD",10,FALSE,0,0,NA,NA,NA,NA,10
"Chittagong Coast Aquifer_MMR","Chittagong Coast Aquifer","MMR",10,FALSE,0,0,NA,NA,NA,NA,10
"Coastal Aquifer_118","Coastal Aquifer","118",10,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Aquifer_124","Coastal Aquifer","124",10,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Aquifer_129","Coastal Aquifer","129",10,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Aquifer_EGY","Coastal Aquifer","EGY",10,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Aquifer_ISR","Coastal Aquifer","ISR",10,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Maine Crystalline Aquifers_CAN","Coastal Maine Crystalline Aquifers","CAN",10,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Maine Crystalline Aquifers_USA","Coastal Maine Crystalline Aquifers","USA",10,FALSE,0,0,NA,NA,NA,NA,0
"Devonian and Overlying Unconsolidated Aquifers_CAN","Devonian and Overlying Unconsolidated Aquifers","CAN",10,FALSE,0,1,NA,NA,NA,NA,80
"Devonian and Overlying Unconsolidated Aquifers_USA","Devonian and Overlying Unconsolidated Aquifers","USA",10,FALSE,0,1,NA,NA,NA,NA,80
