"unit_id","Aquifer","shapeGroup","q_min_cms","has_crossing_river","n_crossing_rivers","n_meander_rivers","max_q_crossing_cms","side","min_depth_km","n_border_points","n_reaches_window"
"Abbotsford-Sumas Aquifer_CAN","Abbotsford-Sumas Aquifer","CAN",100,FALSE,0,0,NA,NA,NA,NA,0
"Abbotsford-Sumas Aquifer_USA","Abbotsford-Sumas Aquifer","USA",100,FALSE,0,0,NA,NA,NA,NA,0
"Alsatian Aquifer and Upper Rhine Valley_CHE","Alsatian Aquifer and Upper Rhine Valley","CHE",100,FALSE,0,0,NA,NA,NA,NA,77
"Alsatian Aquifer and Upper Rhine Valley_DEU","Alsatian Aquifer and Upper Rhine Valley","DEU",100,FALSE,0,1,NA,NA,NA,NA,77
"Alsatian Aquifer and Upper Rhine Valley_FRA","Alsatian Aquifer and Upper Rhine Valley","FRA",100,FALSE,0,1,NA,NA,NA,NA,77
"Avra Valley_MEX","Avra Valley","MEX",100,FALSE,0,0,NA,NA,NA,NA,0
"Avra Valley_USA","Avra Valley","USA",100,FALSE,0,0,NA,NA,NA,NA,0
"Bajo Rio Bravo_MEX","Bajo Rio Bravo","MEX",100,FALSE,0,2,NA,NA,NA,NA,44
"Bajo Rio Bravo_USA","Bajo Rio Bravo","USA",100,FALSE,0,2,NA,NA,NA,NA,44
"Bari Doab_IND","Bari Doab","IND",100,TRUE,1,0,2946.65981188361,"upstream",62.2490122174244,19,402
"Bari Doab_PAK","Bari Doab","PAK",100,TRUE,1,0,2946.65981188361,"downstream",60.8726864328045,22,402
"Barind Tract and Central Floodplains_BGD","Barind Tract and Central Floodplains","BGD",100,TRUE,1,0,34830.5233461089,"downstream",44.8991163522721,17,368
"Barind Tract and Central Floodplains_IND","Barind Tract and Central Floodplains","IND",100,TRUE,1,0,34830.5233461089,"upstream",44.5040707316449,17,368
"Central Karoo Basin_LSO","Central Karoo Basin","LSO",100,FALSE,0,0,NA,NA,NA,NA,0
"Central Karoo Basin_ZAF","Central Karoo Basin","ZAF",100,FALSE,0,0,NA,NA,NA,NA,0
"Central Maputaland Coastal Plain_MOZ","Central Maputaland Coastal Plain","MOZ",100,FALSE,0,0,NA,NA,NA,NA,0
"Central Maputaland Coastal Plain_SWZ","Central Maputaland Coastal Plain","SWZ",100,FALSE,0,0,NA,NA,NA,NA,0
"Central Maputaland Coastal Plain_ZAF","Central Maputaland Coastal Plain","ZAF",100,FALSE,0,0,NA,NA,NA,NA,0
"Central Parana Basin and Torres Syncline_ARG","Central Parana Basin and Torres Syncline","ARG",100,FALSE,0,0,NA,NA,NA,NA,0
"Central Parana Basin and Torres Syncline_BRA","Central Parana Basin and Torres Syncline","BRA",100,FALSE,0,0,NA,NA,NA,NA,0
"Central Parana Basin and Torres Syncline_PRY","Central Parana Basin and Torres Syncline","PRY",100,FALSE,0,0,NA,NA,NA,NA,0
"Central Vienna Basin_AUT","Central Vienna Basin","AUT",100,FALSE,0,0,NA,NA,NA,NA,0
"Central Vienna Basin_SVK","Central Vienna Basin","SVK",100,FALSE,0,0,NA,NA,NA,NA,0
"Chaj Doab_IND","Chaj Doab","IND",100,FALSE,0,0,NA,NA,NA,NA,169
"Chaj Doab_PAK","Chaj Doab","PAK",100,FALSE,0,0,NA,NA,NA,NA,169
"Cheb Basin_CZE","Cheb Basin","CZE",100,FALSE,0,0,NA,NA,NA,NA,0
"Cheb Basin_DEU","Cheb Basin","DEU",100,FALSE,0,0,NA,NA,NA,NA,0
"Chittagong Coast Aquifer_BGD","Chittagong Coast Aquifer","BGD",100,FALSE,0,0,NA,NA,NA,NA,9
"Chittagong Coast Aquifer_MMR","Chittagong Coast Aquifer","MMR",100,FALSE,0,0,NA,NA,NA,NA,9
"Coastal Aquifer_118","Coastal Aquifer","118",100,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Aquifer_124","Coastal Aquifer","124",100,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Aquifer_129","Coastal Aquifer","129",100,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Aquifer_EGY","Coastal Aquifer","EGY",100,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Aquifer_ISR","Coastal Aquifer","ISR",100,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Maine Crystalline Aquifers_CAN","Coastal Maine Crystalline Aquifers","CAN",100,FALSE,0,0,NA,NA,NA,NA,0
"Coastal Maine Crystalline Aquifers_USA","Coastal Maine Crystalline Aquifers","USA",100,FALSE,0,0,NA,NA,NA,NA,0
"Devonian and Overlying Unconsolidated Aquifers_CAN","Devonian and Overlying Unconsolidated Aquifers","CAN",100,FALSE,0,1,NA,NA,NA,NA,17
"Devonian and Overlying Unconsolidated Aquifers_USA","Devonian and Overlying Unconsolidated Aquifers","USA",100,FALSE,0,1,NA,NA,NA,NA,17
"Dublin Basin_GBR","Dublin Basin","GBR",100,FALSE,0,0,NA,NA,NA,NA,0
"Dublin Basin_IRL","Dublin Basin","IRL",100,FALSE,0,0,NA,NA,NA,NA,0
"Eastern Champlain Valley Lowlands_CAN","Eastern Champlain Valley Lowlands","CAN",100,FALSE,0,0,NA,NA,NA,NA,10
"Eastern Champlain Valley Lowlands_USA","Eastern Champlain Valley Lowlands","USA",100,FALSE,0,0,NA,NA,NA,NA,10
"Eastern Imperial and Amos and Oligby Valleys_MEX","Eastern Imperial and Amos and Oligby Valleys","MEX",100,FALSE,0,0,NA,NA,NA,NA,5
"Eastern Imperial and Amos and Oligby Valleys_USA","Eastern Imperial and Amos and Oligby Valleys","USA",100,FALSE,0,0,NA,NA,NA,NA,5
"Eastern Isonzo-Soca High Plain_ITA","Eastern Isonzo-Soca High Plain","ITA",100,FALSE,0,0,NA,NA,NA,NA,0
"Eastern Isonzo-Soca High Plain_SVN","Eastern Isonzo-Soca High Plain","SVN",100,FALSE,0,0,NA,NA,NA,NA,0
"Eastern Mekong Delta_KHM","Eastern Mekong Delta","KHM",100,TRUE,1,0,15252.1125006513,"upstream",32.5319360284528,1,342
"Eastern Mekong Delta_VNM","Eastern Mekong Delta","VNM",100,TRUE,1,0,15252.1125006513,"downstream",32.5319360284528,1,342
"Eastside Lower Indus Valley_IND","Eastside Lower Indus Valley","IND",100,FALSE,0,0,NA,NA,NA,NA,26
"Eastside Lower Indus Valley_PAK","Eastside Lower Indus Valley","PAK",100,FALSE,0,0,NA,NA,NA,NA,26
"Eastside Middle Indus Plain_IND","Eastside Middle Indus Plain","IND",100,TRUE,1,1,523.022051683152,"upstream",72.6962975681328,1,302
"Eastside Middle Indus Plain_PAK","Eastside Middle Indus Plain","PAK",100,TRUE,1,1,523.022051683152,"downstream",72.6962975681328,1,302
"Edwards Plateau_MEX","Edwards Plateau","MEX",100,FALSE,0,1,NA,NA,NA,NA,23
"Edwards Plateau_USA","Edwards Plateau","USA",100,FALSE,0,1,NA,NA,NA,NA,23
"Essex Clay Plain_CAN","Essex Clay Plain","CAN",100,FALSE,0,0,NA,NA,NA,NA,1
"Essex Clay Plain_USA","Essex Clay Plain","USA",100,FALSE,0,0,NA,NA,NA,NA,1
"Grand Forks Aquifer_CAN","Grand Forks Aquifer","CAN",100,FALSE,0,0,NA,NA,NA,NA,0
"Grand Forks Aquifer_USA","Grand Forks Aquifer","USA",100,FALSE,0,0,NA,NA,NA,NA,0
"Jacumba Valley_MEX","Jacumba Valley","MEX",100,FALSE,0,0,NA,NA,NA,NA,0
