"unit_id","Aquifer","shapeGroup","q_min_cms","has_crossing_river","n_crossing_rivers","n_meander_rivers","max_q_crossing_cms","side","min_depth_km","n_border_points","n_reaches_window"
"Abbotsford-Sumas Aquifer_CAN","Abbotsford-Sumas Aquifer","CAN",30,FALSE,0,0,NA,NA,NA,NA,0
"Abbotsford-Sumas Aquifer_USA","Abbotsford-Sumas Aquifer","USA",30,FALSE,0,0,NA,NA,NA,NA,0
"Alsatian Aquifer and Upper Rhine Valley_CHE","Alsatian Aquifer and Upper Rhine Valley","CHE",30,FALSE,0,0,NA,NA,NA,NA,95
"Alsatian Aquifer and Upper Rhine Valley_DEU","Alsatian Aquifer and Upper Rhine Valley","DEU",30,TRUE,1,0,1301.12793140876,"downstream",15.4491134165393,143,95
"Alsatian Aquifer and Upper Rhine Valley_FRA","Alsatian Aquifer and Upper Rhine Valley","FRA",30,TRUE,1,0,1301.12793140876,"upstream",15.423668472673,144,95
"Avra Valley_MEX","Avra Valley","MEX",30,FALSE,0,0,NA,NA,NA,NA,0
"Avra Valley_USA","Avra Valley","USA",30,FALSE,0,0,NA,NA,NA,NA,0
"Bajo Rio Bravo_MEX","Bajo Rio Bravo","MEX",30,FALSE,0,2,NA,NA,NA,NA,55
"Bajo Rio Bravo_USA","Bajo Rio Bravo","USA",30,FALSE,0,2,NA,NA,NA,NA,55
"Bari Doab_IND","Bari Doab","IND",30,TRUE,1,0,2946.65981188361,"upstream",62.2490122174244,19,402
"Bari Doab_PAK","Bari Doab","PAK",30,TRUE,1,0,2946.65981188361,"downstream",60.8726864328045,22,402
"Barind Tract and Central Floodplains_BGD","Barind Tract and Central Floodplains","BGD",30,TRUE,1,0,34830.5233461089,"downstream",44.8991163522721,36,529
"Barind Tract and Central Floodplains_IND","Barind Tract and Central Floodplains","IND",30,TRUE,1,0,34830.5233461089,"upstream",44.5040707316449,36,529
"Central Karoo Basin_LSO","Central Karoo Basin","LSO",30,FALSE,0,0,NA,NA,NA,NA,0
"Central Karoo Basin_ZAF","Central Karoo Basin","ZAF",30,FALSE,0,0,NA,NA,NA,NA,0
"Central Maputaland Coastal Plain_MOZ","Central Maputaland Coastal Plain","MOZ",30,FALSE,0,0,NA,NA,NA,NA,0
"Central Maputaland Coastal Plain_SWZ","Central Maputaland Coastal Plain","SWZ",30,FALSE,0,0,NA,NA,NA,NA,0
"Central Maputaland Coastal Plain_ZAF","Central Maputaland Coastal Plain","ZAF",30,FALSE,0,0,NA,NA,NA,NA,0
"Central Parana Basin and Torres Syncline_ARG","Central Parana Basin and Torres Syncline","ARG",30,FALSE,0,0,NA,NA,NA,NA,0
"Central Parana Basin and Torres Syncline_BRA","Central Parana Basin and Torres Syncline","BRA",30,FALSE,0,0,NA,NA,NA,NA,0
"Central Parana Basin and Torres Syncline_PRY","Central Parana Basin and Torres Syncline","PRY",30,FALSE,0,0,NA,NA,NA,NA,0
"Central Vienna Basin_AUT","Central Vienna Basin","AUT",30,FALSE,0,0,NA,NA,NA,NA,0
"Central Vienna Basin_SVK","Central Vienna Basin","SVK",30,FALSE,0,0,NA,NA,NA,NA,0
"Chaj Doab_IND","Chaj Doab","IND",30,FALSE,0,1,NA,NA,NA,NA,176
"Chaj Doab_PAK","Chaj Doab","PAK",30,FALSE,0,1,NA,NA,NA,NA,176
