"","Aquifer","CC","CS_max","CS_min","GWIrKHaKm2","RDS_main","RDS_mainDist","RDS_tot","STS","area_km2","compact","crpkHaKm2","elev","elong","lat_c","lon_c","m_per_year","ntl","perim_km","pet_mm","pop","prec_mm","slope","urbkHaKm2","nW","mean_dist_LB_km","mean_GWSlp","Broader","Details","TB","dist_to_LB_km"
"1110","Pahrump Valley","USA",1734.6544529914,55.4053183139961,0.00151685013980085,0,5.86406565700468,637.927513466504,2.31109702849258,1406.70254900331,0.43846220886749,0.00038088324570176,931.283752778132,1.01643713604118,36.1217471342731,-115.904387959619,0.11125167,0.993797703815063,200.789031776979,1696.00704267121,1.9105128301165,118.029535376253,1.72730195211256,0.00143086407110617,37,474.412300188164,67.4341836085594,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,468.732817932853
"1111","Pahsimeroi Valley","USA",4664.26011697473,1000.33489587985,0.00224067953110935,0,91.6155959381031,46.9654656665774,1.38790740244665,625.478958983359,0.414630967139784,0.00788347217756267,1751.31347441736,1.26741865306535,44.4885491852835,-113.801614588776,0.01896533,0.348825190595584,137.68303064222,779.966250909849,0.0203963188758476,250.800201335782,2.6679722329712,0,5,724.784828506106,10.8974824582629,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,733.08345709442
"1112","Pahvant Valley","USA",5605.69547700764,1122.54589621988,0.0043609020066149,81.8486723265896,5.53984332487503,146.973959408547,1.53628199834847,942.860181974128,0.502312017035027,0.0159212697859148,1473.47358200867,1.18894738401853,39.0071125377886,-112.421418902955,0.42225679,0.482844925077184,153.582522258689,1141.39962785889,0.275221775595057,249.683449509413,0.846707190079699,0,62,895.589174877687,475.856215868421,"-","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,901.79485001565
"1113","Pajaro Valley","USA",9999.32667645896,3422.6964448807,0.0212497312764556,134.475622846167,0,2609.83380882436,1.61095418337947,221.59909281591,0.466572018132834,0.0300085264178031,47.9378001242868,1.30275873527116,36.9223253146525,-121.769219761726,-0.02215811,3.61996970049506,77.2555300384209,977.370157459859,22.2597481682588,462.89251614426,1.30667044878436,0.0130466977349444,354,788.871072823041,-16.6427393234304,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,787.982252359747
"1114","Palakkad Gap Fractured Charnockite and Gneiss Aquifers","IND",7325.87351460017,2299.3628592265,0.013055097761793,0,0.00149332991633233,559.094424213079,2.66939547158236,3034.01632688134,0.348318856362958,0.0261880833323316,208.069614629453,1.718964798627,10.7019120857786,76.8147903265745,0.24340278,1.06797601793394,330.84562487652,1321.0174000468,59.3722478546795,1595.08240257828,0.857915391900373,0.0418697540773953,38,1714.09309785738,287.455957559389,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,1717.38798765347
"1115","Palen and Chuckwalla Valleys","USA",-0.526393322326179,-0.526393322326179,0.000300488757661423,67.8268574573473,18.3436814767949,60.9809117593102,2.040456796918,1774.72756856969,0.251309512156642,1.5092291291084e-05,201.060554026784,1.32696355196117,33.7048993027578,-115.136916957859,-0.01311078,0.606966342216587,297.897128036872,1860.72542191313,0.337398674146926,78.1453992174173,0.985950269960266,0.000194401715912218,6,115.562779175375,-21.3908100053302,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,134.562695315628
"1116","Palo Verde Valley","USA",-0.0158147397968134,-0.0158147397968134,0.0205045369455277,68.8545382051323,1.46358236009444,339.657364316359,2.06543914770099,1022.20834630473,0.599340641789602,0.032621004315979,101.713050828535,1.17629573253274,33.5739225199961,-114.627311918128,-0.02560211,0.726419658233377,146.39888836266,1794.46930286743,1.30247635090154,97.6465000339982,0.445539112273352,0.00101340688087112,198,119.133983141853,-23.7434788051484,"Blythe Basin","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,114.207541106988
"1117","Palomas Basin","USA",7501.70414311255,3097.36307933644,0.000484864016164321,121.896251666443,16.4656373967018,256.503338052768,3.62785620536775,634.52856737101,0.664325843340409,0.000601440180104197,1434.5727705838,1.42562221070177,33.0827145938604,-107.358610688919,-0.02399655,0.544077698801866,109.556953710599,1493.07826471676,0.766698693462311,269.256504386421,1.4071424851824,0,3,166.280995070736,-17.0412454754114,"-","Jasechko, S., Seybold, H., Perrone, D., Fan, Y., Shamsudduha, M., Taylor, R.G., Fallatah, O., Kirchner, J.W. (2024). Nature https://doi.org/10.1038/s41586-023-06879-8",FALSE,171.368939558803
"1118","Palouse Basin","USA",9353.20597794798,3394.94457203378,0,0,2.00500032191278,284.166112728199,1.21508352658102,2335.03456287948,0.475597832902872,0.0509999935607146,795.694571173638,1.49377055689095,46.8156732796233,-117.113079040194,0.0104267,0.769163269893581,248.388597417963,766.758858089154,1.928666111836,564.555360195103,1.45867396534433,0.00104275976327302,6,356.717771178505,5.21908067164231,"Columbia Plateau Regional Aquifer System","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,362.484247226214
"1119","Palouse Slope","USA",8042.00062664614,2852.2200537585,0.00145632451545679,9.77635156097534,12.1712316843765,177.858830580824,1.77113390922835,15219.8140135268,0.317991777429572,0.0294489423574214,601.423154372278,1.3563524477387,46.8038460849857,-117.831596177891,-0.00544286,0.566393004325487,775.535459338253,858.654647079715,0.464199687434329,428.349705380492,2.16021327854118,0.000192603105093405,3,388.265782569471,30.5453144634763,"Columbia Plateau Regional Aquifer System","GebreEgziabher, M., Jasechko, S., Perrone, D. (2022). Nature Communications 13, 2129, doi.org/10.1038/s41467-022-29678-7",FALSE,363.634314395408
