"unit_id","Aquifer","shapeGroup","q_min_cms","has_crossing_river","n_crossing_rivers","n_meander_rivers","max_q_crossing_cms","side","min_depth_km","n_border_points","n_reaches_window"
"Eastside Lower Indus Valley_PAK","Eastside Lower Indus Valley","PAK",300,FALSE,0,0,NA,NA,NA,NA,26
"Eastside Middle Indus Plain_IND","Eastside Middle Indus Plain","IND",300,FALSE,0,1,NA,NA,NA,NA,194
"Eastside Middle Indus Plain_PAK","Eastside Middle Indus Plain","PAK",300,FALSE,0,1,NA,NA,NA,NA,194
"Edwards Plateau_MEX","Edwards Plateau","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Edwards Plateau_USA","Edwards Plateau","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Essex Clay Plain_CAN","Essex Clay Plain","CAN",300,FALSE,0,0,NA,NA,NA,NA,1
"Essex Clay Plain_USA","Essex Clay Plain","USA",300,FALSE,0,0,NA,NA,NA,NA,1
"Grand Forks Aquifer_CAN","Grand Forks Aquifer","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Grand Forks Aquifer_USA","Grand Forks Aquifer","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Jacumba Valley_MEX","Jacumba Valley","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Jacumba Valley_USA","Jacumba Valley","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Kootenai Valley_CAN","Kootenai Valley","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Kootenai Valley_USA","Kootenai Valley","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"La Yarada Aquifer_CHL","La Yarada Aquifer","CHL",300,FALSE,0,0,NA,NA,NA,NA,0
"La Yarada Aquifer_PER","La Yarada Aquifer","PER",300,FALSE,0,0,NA,NA,NA,NA,0
"Letaba Lowveld_MOZ","Letaba Lowveld","MOZ",300,FALSE,0,0,NA,NA,NA,NA,0
"Letaba Lowveld_ZAF","Letaba Lowveld","ZAF",300,FALSE,0,0,NA,NA,NA,NA,0
"Lom- Pleven Depression_BGR","Lom- Pleven Depression","BGR",300,FALSE,0,1,NA,NA,NA,NA,60
"Lom- Pleven Depression_ROU","Lom- Pleven Depression","ROU",300,FALSE,0,1,NA,NA,NA,NA,60
"Lom- Pleven Depression_SRB","Lom- Pleven Depression","SRB",300,FALSE,0,0,NA,NA,NA,NA,60
"Lower Fraser Valley_CAN","Lower Fraser Valley","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Lower Fraser Valley_USA","Lower Fraser Valley","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Lower Morovian Basin_AUT","Lower Morovian Basin","AUT",300,FALSE,0,0,NA,NA,NA,NA,0
"Lower Morovian Basin_CZE","Lower Morovian Basin","CZE",300,FALSE,0,0,NA,NA,NA,NA,0
"Lower Morovian Basin_SVK","Lower Morovian Basin","SVK",300,FALSE,0,0,NA,NA,NA,NA,0
"Lower Mur Valley_AUT","Lower Mur Valley","AUT",300,FALSE,0,0,NA,NA,NA,NA,0
"Lower Mur Valley_SVN","Lower Mur Valley","SVN",300,FALSE,0,0,NA,NA,NA,NA,0
"Lower Rio Paz Aquifer_GTM","Lower Rio Paz Aquifer","GTM",300,FALSE,0,0,NA,NA,NA,NA,0
"Lower Rio Paz Aquifer_SLV","Lower Rio Paz Aquifer","SLV",300,FALSE,0,0,NA,NA,NA,NA,0
"Madhupur Tract and Eastern Floodplains_BGD","Madhupur Tract and Eastern Floodplains","BGD",300,FALSE,0,0,NA,NA,NA,NA,195
"Madhupur Tract and Eastern Floodplains_IND","Madhupur Tract and Eastern Floodplains","IND",300,FALSE,0,0,NA,NA,NA,NA,195
"Malm Valangnian Aquifer_BGR","Malm Valangnian Aquifer","BGR",300,FALSE,0,0,NA,NA,NA,NA,0
"Malm Valangnian Aquifer_ROU","Malm Valangnian Aquifer","ROU",300,FALSE,0,0,NA,NA,NA,NA,0
"Mesilla-Conejos-Medanos Basin_MEX","Mesilla-Conejos-Medanos Basin","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Mesilla-Conejos-Medanos Basin_USA","Mesilla-Conejos-Medanos Basin","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Mexicali Valley_MEX","Mexicali Valley","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Mexicali Valley_USA","Mexicali Valley","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Middle Gangetic Plain_IND","Middle Gangetic Plain","IND",300,TRUE,1,0,12822.4200545689,"downstream",29.571986933315,6,575
"Middle Gangetic Plain_NPL","Middle Gangetic Plain","NPL",300,TRUE,1,0,12822.4200545689,"upstream",28.8535932955004,6,575
"Middle-Upper Devonian Aquifer System_BLR","Middle-Upper Devonian Aquifer System","BLR",300,FALSE,0,0,NA,NA,NA,NA,0
"Middle-Upper Devonian Aquifer System_LTU","Middle-Upper Devonian Aquifer System","LTU",300,FALSE,0,0,NA,NA,NA,NA,0
"Middle-Upper Devonian Aquifer System_LVA","Middle-Upper Devonian Aquifer System","LVA",300,FALSE,0,0,NA,NA,NA,NA,0
"Milk River_CAN","Milk River","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Milk River_USA","Milk River","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Mimbres Basin_MEX","Mimbres Basin","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Mimbres Basin_USA","Mimbres Basin","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers_ESP","Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers","ESP",300,FALSE,0,0,NA,NA,NA,NA,0
"Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers_PRT","Mioplioquatenario de Elvas-Campo Maior and Vegas Baja Aquifers","PRT",300,FALSE,0,0,NA,NA,NA,NA,0
"Mons Sedimentary Basin_BEL","Mons Sedimentary Basin","BEL",300,FALSE,0,0,NA,NA,NA,NA,0
"Mons Sedimentary Basin_FRA","Mons Sedimentary Basin","FRA",300,FALSE,0,0,NA,NA,NA,NA,0
"Niagara Peninsula_CAN","Niagara Peninsula","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Niagara Peninsula_USA","Niagara Peninsula","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Northcentral Mega Aquifer System_IRQ","Northcentral Mega Aquifer System","IRQ",300,FALSE,0,0,NA,NA,NA,NA,0
"Northcentral Mega Aquifer System_KWT","Northcentral Mega Aquifer System","KWT",300,FALSE,0,0,NA,NA,NA,NA,0
"Northcentral Mega Aquifer System_SAU","Northcentral Mega Aquifer System","SAU",300,FALSE,0,0,NA,NA,NA,NA,0
"Northern Mega Aquifer System_IRQ","Northern Mega Aquifer System","IRQ",300,FALSE,0,0,NA,NA,NA,NA,0
"Northern Mega Aquifer System_SAU","Northern Mega Aquifer System","SAU",300,FALSE,0,0,NA,NA,NA,NA,0
"Northern Piedmont and Tista Fan_BGD","Northern Piedmont and Tista Fan","BGD",300,TRUE,1,0,21233.4224327264,"downstream",46.7491763569159,6,155
"Northern Piedmont and Tista Fan_BTN","Northern Piedmont and Tista Fan","BTN",300,FALSE,0,0,NA,NA,NA,NA,155
"Northern Piedmont and Tista Fan_IND","Northern Piedmont and Tista Fan","IND",300,TRUE,1,0,21233.4224327264,"upstream",46.7491763569159,6,155
"Northern Piedmont and Tista Fan_NPL","Northern Piedmont and Tista Fan","NPL",300,FALSE,0,0,NA,NA,NA,NA,155
"Northern Vienna Basin_AUT","Northern Vienna Basin","AUT",300,FALSE,0,0,NA,NA,NA,NA,0
"Northern Vienna Basin_CZE","Northern Vienna Basin","CZE",300,FALSE,0,0,NA,NA,NA,NA,0
"Northern Vienna Basin_SVK","Northern Vienna Basin","SVK",300,FALSE,0,0,NA,NA,NA,NA,0
"Osoyoos Aquifer_CAN","Osoyoos Aquifer","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Osoyoos Aquifer_USA","Osoyoos Aquifer","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Playas Valley_MEX","Playas Valley","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Playas Valley_USA","Playas Valley","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Pomfret-Vergelegen Dolomitic Aquifer_BWA","Pomfret-Vergelegen Dolomitic Aquifer","BWA",300,FALSE,0,0,NA,NA,NA,NA,0
"Pomfret-Vergelegen Dolomitic Aquifer_ZAF","Pomfret-Vergelegen Dolomitic Aquifer","ZAF",300,FALSE,0,0,NA,NA,NA,NA,0
"Presidio-Redford Bolson and Del Peso Valley_MEX","Presidio-Redford Bolson and Del Peso Valley","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Presidio-Redford Bolson and Del Peso Valley_USA","Presidio-Redford Bolson and Del Peso Valley","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Rechna Doab_IND","Rechna Doab","IND",300,TRUE,1,0,1657.41017236164,"upstream",10.0156187649409,1,138
"Rechna Doab_PAK","Rechna Doab","PAK",300,TRUE,1,0,1657.41017236164,"downstream",10.9697348309319,2,138
"Rheintal Aquifer_AUT","Rheintal Aquifer","AUT",300,FALSE,0,0,NA,NA,NA,NA,0
"Rheintal Aquifer_CHE","Rheintal Aquifer","CHE",300,FALSE,0,0,NA,NA,NA,NA,0
"Rheintal Aquifer_LIE","Rheintal Aquifer","LIE",300,FALSE,0,0,NA,NA,NA,NA,0
"Rio Grande Delta_MEX","Rio Grande Delta","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"Rio Grande Delta_USA","Rio Grande Delta","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Salzburg Basin_AUT","Salzburg Basin","AUT",300,FALSE,0,0,NA,NA,NA,NA,0
"Salzburg Basin_DEU","Salzburg Basin","DEU",300,FALSE,0,0,NA,NA,NA,NA,0
"San Pedro Basin_MEX","San Pedro Basin","MEX",300,FALSE,0,0,NA,NA,NA,NA,0
"San Pedro Basin_USA","San Pedro Basin","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Sandlands Aquifer_CAN","Sandlands Aquifer","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Sandlands Aquifer_USA","Sandlands Aquifer","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Southcentral Floodplains_BGD","Southcentral Floodplains","BGD",300,FALSE,0,1,NA,NA,NA,NA,165
"Southcentral Floodplains_IND","Southcentral Floodplains","IND",300,FALSE,0,0,NA,NA,NA,NA,165
"Southcentral Mega Aquifer System_QAT","Southcentral Mega Aquifer System","QAT",300,FALSE,0,0,NA,NA,NA,NA,0
"Southcentral Mega Aquifer System_SAU","Southcentral Mega Aquifer System","SAU",300,FALSE,0,0,NA,NA,NA,NA,0
"Southeastern Bengal Basin_BGD","Southeastern Bengal Basin","BGD",300,FALSE,0,0,NA,NA,NA,NA,69
"Southeastern Bengal Basin_IND","Southeastern Bengal Basin","IND",300,FALSE,0,0,NA,NA,NA,NA,69
"Southern Mekong Delta_KHM","Southern Mekong Delta","KHM",300,FALSE,0,0,NA,NA,NA,NA,62
"Southern Mekong Delta_VNM","Southern Mekong Delta","VNM",300,FALSE,0,0,NA,NA,NA,NA,62
"Southern Odanah Shale_CAN","Southern Odanah Shale","CAN",300,FALSE,0,0,NA,NA,NA,NA,0
"Southern Odanah Shale_USA","Southern Odanah Shale","USA",300,FALSE,0,0,NA,NA,NA,NA,0
"Southern St. Lawrence Lowlands_CAN","Southern St. Lawrence Lowlands","CAN",300,FALSE,0,1,NA,NA,NA,NA,173
"Southern St. Lawrence Lowlands_USA","Southern St. Lawrence Lowlands","USA",300,FALSE,0,1,NA,NA,NA,NA,173
"Southwestern Chaco-Lower Parana Basin_120","Southwestern Chaco-Lower Parana Basin","120",300,FALSE,0,0,NA,NA,NA,NA,0
"Southwestern Chaco-Lower Parana Basin_ARG","Southwestern Chaco-Lower Parana Basin","ARG",300,FALSE,0,0,NA,NA,NA,NA,0
