aq_code,CODE_2021,region_cod,twap_regio,aquifer,Confinement.description.,Lithology,Tr,S
AS106,AS106,AS106_MNG,South-Eastern Asia-Pacific,Herlen River Basin,1. Whole aquifer unconfined,Sediment - Gravel,0.020600579,0.19
AS108,AS108,AS108_MNG,South-Eastern Asia-Pacific,Buir Nuur-Khalkh river Aquifer,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.001157407,0.166367028
AS109,AS109,AS109_MNG,South-Eastern Asia-Pacific,Zamiin-Uud Basin,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.001782407,0.035265793
AS11,AS011,AS11_KAZ,Europe & Central Asia,Syrt,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.003472222,0.16605156
AS110,AS110,AS110_MNG,South-Eastern Asia-Pacific,Onch Kharikhanii Sair Aquifer,1. Whole aquifer unconfined,Sedimentary rocks - Sandstone,0.003833912,0.14
AS111,AS111,AS111_MNG,South-Eastern Asia-Pacific,Dankhan Khudgiin Sair Aquifer,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Sand,0.000449653,0.165742401
AS113,AS113,AS113_AFG,South-Eastern Asia-Pacific,Kabul River Aquifer,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS114,AS114,AS114_CHN,South-Eastern Asia-Pacific,Yalu River Basin,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Shale,0.013888889,0.035553212
AS118,AS118,AS118_LAO,South-Eastern Asia-Pacific,Lower Mekong River 1 Aquifer,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS119,AS119,AS119_CHN,South-Eastern Asia-Pacific,Karst Aquifer of Upper Zuojiang Valley,1. Whole aquifer unconfined,Sediment - Sand,0.05787037,0.22
AS12,AS012,AS12_ARM,Europe,Leninak-Shiraks Aquifer,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS122,AS122,AS122_AZE,Europe,Kura River Valley Aquifer,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS125,AS125,AS125_TBA,Neogene Aquifer System (North-West): Upper and Lower Fars,Neogene Aquifer System (North-West): Upper and Lower Fars,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Limestone,0.000451389,0.10571247
AS126,AS126,AS126_TBA,North Africa-Western Asia,Saq-Ram Aquifer System (West),"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.015243056,0.038457575
AS127,AS127,AS127_TBA,North Africa-Western Asia,Wasia-Biyadh-Aruma Aquifer System (North): Sakaka-Rutba,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.050260417,0.035955548
AS128,AS128,AS128_TBA,North Africa-Western Asia,Neogene Aquifer System (South-East): Dibdibba-Kuwait Group,"4. Aquifer mostly unconfined, but some parts confined",Sediment - Gravel,4.5,0.14276289
AS129,AS129,AS129_TBA,North Africa-Western Asia,Tawil Quaternary Aquifer System: Wadi Sirhan Basin,"6. Aquifer mostly confined, but some parts unconfined",Crystalline rock,0.089293981,0.02021717
AS130,AS130,AS130_TBA,North Africa-Western Asia,Umm er Radhuma-Dammam Aquifer System (North): Widyan-Salman,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Limestone,0.027216435,0.036194435
AS131,AS131,AS131_TBA,North Africa-Western Asia,Wajid Aquifer System,"4. Aquifer mostly unconfined, but some parts confined",Sedimentary rocks - Sandstone,0.015046296,0.1054191
AS138,AS138,AS138_MNG,South-Eastern Asia-Pacific & Europe,Tes River Basin,1. Whole aquifer unconfined,Sediment - Sand,0.000107639,0.22
AS139,AS139,AS139_SAU,North Africa-Western Asia,Wasia-Biyadh-Aruma Aquifer System (South): Tawila-Mahra/cretaceous Sands,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Sandstone,0.005381944,0.03638303
AS140,AS140,AS140_TBA,North Africa-Western Asia,Umm er Radhuma-Dammam Aquifer System (centre): Gulf,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Limestone,0,0.035
AS141,AS141,AS141_TBA,North Africa-Western Asia,Umm er Radhuma-Dammam Aquifer System (South): Rub' al Khali,"6. Aquifer mostly confined, but some parts unconfined",Sedimentary rocks - Limestone,0.002806713,0.036106424
AS142,AS142,AS142_TBA,North Africa-Western Asia,Basalt Aquifer System (West): Yarmouk Basin,"4. Aquifer mostly unconfined, but some parts confined",Crystalline rocks - Basalt,0.007696759,0.06000762
AS143,AS143,AS143_TBA,North Africa-Western Asia,Basalt Aquifer System (South): Azraq-Dhuleil Basin,"4. Aquifer mostly unconfined, but some parts confined",Crystalline rocks - Basalt,0,0.06
AS150,AS150,AS150_KAZ,Europe & Central Asia,Irtysh-Obsky,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.008680556,0.0681445
AS151,AS151,AS151_BRN,South-Easthern Asia-Pacific,Limbang Aquifer,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS17,AS017,AS17_ARM,Europe,Agstev-Akstafa/Tavush-Tovuz Aquifer,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS19,AS019,AS19_KAZ,Europe & Central Asia,Pre-caspien,"7. Aquifer mostly semi-confined, but some parts unconfined",Sediment - Sand,0.002314815,0.132560832
AS26,AS026,AS26_AZE,South-Eastern Asia-Pacific & Europe,Lenkoran/Astara,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS27,AS027,AS27_AZE,Europe,Samur Aquifer,8. No data (assumed unconfined),Sediment - Sand,0,0.22
AS31,AS031,AS31_KAZ,Europe & Central Asia,South-Pred-Ural Aquifer,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.01087963,0.06367537
AS35,AS035,AS35_KAZ,Central Asia,Amu-Darya,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.75,0.133867
AS36,AS036,AS36_KAZ,Central Asia,Syr Daria,"6. Aquifer mostly confined, but some parts unconfined",Sediment - Sand,0.038194444,0.10363465
