"code","name","CC_1","CC_2","class","classF"
"AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","NER","TCD","DA","DA"
"AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","NGA","TCD","DA","DA"
"AF052","Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad","SDN","TCD","UB","DA"
"AF053","Baggara Basin","CAF","SDN","UB","UB"
"AF053","Baggara Basin","SDN","SSD","UB","UB"
"AF054","Volta Basin","BEN","BFA","UB","BL"
"AF054","Volta Basin","BEN","NER","IU1","IU1"
"AF054","Volta Basin","BEN","TGO","UB","DA"
"AF054","Volta Basin","BFA","NER","IU1","IU1"
"AF054","Volta Basin","BFA","TGO","UB","BL"
"AF054","Volta Basin","GHA","TGO","UB","DA"
"AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","BEN","BFA","UB","BL"
"AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","BEN","NER","DA","DA"
"AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","BEN","NGA","DA","DA"
"AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","BFA","NER","UB","BL"
"AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","DZA","MLI","IU1","IU1"
"AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","DZA","NER","IU1","IU1"
"AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","MLI","NER","UB","DA"
"AF056","Système Aquifère des Iullemmeden / Iullemmeden Aquifer System","NER","NGA","DA","DA"
"AF058","Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM)","ESH","MRT","UB","UB"
"AF058","Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM)","GMB","SEN","UB","DA"
"AF058","Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM)","GNB","SEN","DA","DA"
"AF058","Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM)","MRT","SEN","BL","BL"
"AF059","Afar Rift Valley / Afar Triangle Aquifer","DJI","ERI","IU0","IU0"
"AF059","Afar Rift Valley / Afar Triangle Aquifer","DJI","ETH","IU1","IU1"
"AF059","Afar Rift Valley / Afar Triangle Aquifer","ERI","ETH","IU1","IU1"
"AF061","Gedarif-Adigrat","ETH","SDN","UB","DA"
"AF062","Disa","SDN","TCD","UB","BL"
"AF063","Nubian Sandstone Aquifer System","EGY","LBY","UB","UB"
"AF063","Nubian Sandstone Aquifer System","EGY","SDN","UB","UB"
"AF063","Nubian Sandstone Aquifer System","LBY","SDN","UB","UB"
"AF063","Nubian Sandstone Aquifer System","LBY","TCD","IU1","IU1"
