"","Aquifer","Country","area_km2","nWells","beta_AveDepletion","se_AveDepletion","p_AveDepletion","beta_distTrend","se_distTrend","p_distTrend","lat_c","lon_c","urbkHaKm2","CropSuitIndex","probBorderRiver","RDS_mainDist","SoitTerrainSuit","prec_mm","pet_mm","dist_to_LB_km","depletion_m_yr","TransboundaryAquifer"
"75","Bam and Rahmatabad Basins","IRN",4596.11133177863,82,509.245708657701,29.7766828174889,1.30206124622961e-28,2.7014148683991,1.67205212701822,0.1101118593138,28.8893398442469,58.8203390194166,0.00485807305606782,635.063380013968,0,8.59360065683907,3.48462162893479,72.8177202642851,1862.9207096906,259.985480403832,0.4725,FALSE
"76","Bandan Basin","IRN",360.178662599529,15,50.4723182604496,45.640361082387,0.287424555771955,4.7867506821383,16.1271288689217,0.771298054677836,31.5332875461495,60.5685664630444,0,850.326033004278,0,1.17398872784503,4.32544033485822,81.1820723741194,1764.04892812985,30.6060354876907,0.0325,FALSE
"77","Bandar Ganaveh Basin","IRN",2117.16999653045,47,21.5639988752828,11.6634807674317,0.070912704733234,-0.225766169007669,0.724855959617175,0.756886713935043,29.4854331898867,50.786896031174,0.00109234324982542,4604.93134767166,1,12.4569520280782,3.49591139258837,286.890752676388,1743.42227369632,267.450695209668,0.015,FALSE
"78","Bandar Lengeh Basin","IRN",1771.30584213045,7,238.200624298907,84.6908167198344,0.0306514743272782,-1.05974496816768,23.1570715055505,0.965270404448148,26.6874852244946,54.6910587404562,0.00094967563637382,3873.72593824829,0,9.70818233918914,3.18213410818589,107.878537653525,1774.22002102576,174.389057705279,0.18153846,FALSE
"79","Bangkok Basin","THA",13365.486445425,72,-179.583596416349,57.8300917832756,0.00273027355440351,12.1589385485458,2.7079193712419,2.73453942545199e-05,14.0777018419081,100.405339044144,0.037044442519775,4810.22158583653,0,0.0981683323610765,2.31756428284223,1375.64362072983,1254.04121792928,143.586706600284,-0.156875,FALSE
"80","Baoju Uplift","CHN",2959.31480290669,6,-1089.54547317612,717.646703673054,0.189417309468738,226.363230204426,340.589607659656,0.542649231877288,34.3928208865082,107.575599404116,0.0440003211865478,8976.87896219321,0,0.697076318556349,1.7842531569315,712.125580221347,797.761530547141,1056.2834412485,-0.64272727,FALSE
"81","Baotao Plain","CHN",5303.50730335867,8,449.772727414277,467.094591159769,0.367665893176397,-97.6017086411255,64.1806815185087,0.179142568454913,40.5068353529744,109.577998481233,0.00749249263793837,5097.20928279511,0,0.532519432184159,2.77375129379623,326.463237897908,874.50585184343,288.431497861702,0.03863636,FALSE
"82","Baradwar Basin","IND",5508.94222259331,38,130.37108514408,47.2425211040786,0.00894620287741495,1.36770697154588,1.511719211286,0.371620371830937,21.8040796526059,82.9987985038874,0.0275266440829867,8120.38986504935,0.0263157894736842,0.899893572548902,1.10914501357948,1554.10518442049,1303.12927123581,653.465243656248,0.06319444,FALSE
"83","Bardsir Plain","IRN",2365.44503138951,55,548.293583019203,74.224306909143,9.6934573811486e-10,0.427427391287896,3.26738513589115,0.89641587835788,29.8339486860311,56.7942748732512,0.000663836821398073,2329.55404918586,0,3.25827344226407,2.84895191210558,143.12978659549,1336.24214734881,454.112259075392,0.3325,FALSE
"84","Bari Doab","IND",39815.5272456767,1,138.750001788139,NA,NA,NA,NA,NA,30.6934459172972,73.2639953028306,0.0240389582893206,4887.2625207658,0,3.12776889000204,2.29126737475939,440.570285742375,1208.36723426051,41.4905027806569,0.124715,TRUE
"85","Bari Doab","PAK",39815.5272456767,404,131.133109662893,9.17086006319927,8.3906218474618e-38,0.450506662939652,0.156754869997882,0.00426882978419472,30.6934459172972,73.2639953028306,0.0240389582893206,4887.2625207658,0.198019801980198,3.12776889000204,2.29126737475939,440.570285742375,1208.36723426051,90.1349179764021,0.124715,TRUE
"86","Barind Tract and Central Floodplains","BGD",23531.009774131,112,191.865077607017,17.6691823437922,3.73767393012678e-19,-2.66296818362789,0.607489460299444,2.68181421032957e-05,24.7310174504114,88.9661900132607,0.062560828744984,6723.57468702566,0.544642857142857,0,1.70071354674037,1631.56187947849,1112.54352427447,60.6992304024914,0.131625,TRUE
"87","Barind Tract and Central Floodplains","IND",23531.009774131,23,97.0224279116222,59.2130628388214,0.115535060368223,0.901054016852929,2.86262716732573,0.756046430620187,24.7310174504114,88.9661900132607,0.062560828744984,6723.57468702566,0.521739130434783,0,1.70071354674037,1631.56187947849,1112.54352427447,17.2329221827783,0.131625,TRUE
"88","Basht Basin","IRN",56.8537975885474,12,499.894005097443,115.768763878473,0.00121865623711573,3.05441838559923,19.0666068747899,0.875915428880979,30.3654430302896,51.1441255459134,0.0266348497152332,6042.05103497502,1,0,3.57803949559838,392.021071563635,1658.84015025343,302.843435585187,0.41291667,FALSE
"89","Bastam Plain","IRN",532.497999189334,32,729.508515736389,156.226580235502,5.52560238795205e-05,12.1469515400083,27.6260873023546,0.663311976532775,36.549417792697,54.9621980859704,0.00070836690037614,5376.16693632199,0.59375,0.503511797602908,2.35398460012282,519.922746772018,1126.68548858966,127.818086183444,0.22936384,FALSE
"90","Bavanat Basin","IRN",278.48749341076,12,270.987159594254,77.5565938789237,0.00502255910862126,14.1016526254865,6.03279804761032,0.0415162683578295,30.421955755639,53.6840356867507,0,3800.38587002656,0.916666666666667,0.0959577079484763,3.35361919891345,167.66237203423,1270.45239664878,584.381798039306,0.20876786,FALSE
