"specification","label","outcome","est_lmer","se_model","p_model","est_ols","se_cr2","p_cr2","df_cr2","int_lmer","int_se","int_p","n_treat","n_control","n_country","mean_smd","max_smd","ess_ratio","same_country_w","realization","realization_legacy_rule"
"Irrigation","IrIntens","Ir",0.0133635202664532,0.00414660051857105,0.00129696296815748,0.0162437621443299,0.0129438769685205,0.216901108928871,39.363156065153,0.0213776705324928,0.00465152507578674,7.30174937928598e-06,562,956,143,0.00122632438018848,0.00195357110866137,0.950249196853449,0.0318378240976103,398,398
"Overdraft","Overdraft","OverIR3",0.0152566593225187,0.00333633000918099,5.20809206502513e-06,0.0175064914608309,0.0110955191147292,0.122615602550398,39.363156065153,0.00631956192289795,0.00370155880671959,0.0891417567048004,562,956,143,0.00122632438018848,0.00195357110866137,0.950249196853449,0.0318378240976103,398,398
"Irrig | Rivers","IrRivsInt","Ir",0.00911722622771245,0.00567266191169883,0.108216074108282,0.00535011808741179,0.0101497182232193,0.600769523433196,43.8113131539976,0.0208713947362287,0.00466928353911692,1.25550426344271e-05,562,956,143,0.00122632438018848,0.00195357110866137,0.950249196853449,0.0318378240976103,398,398
"Irrigation","IrGini","giniIr",-0.0669056519454107,0.0274898199061625,0.0159861809468334,-0.0754991525004138,0.032796919446186,0.0424160135610248,10.740994003828,0.0183597058708006,0.019708992495819,0.355839285000976,354,461,105,0.00751223911250863,0.014668374783353,0.319384087935886,0.0258945386064029,102,102
"Irrig | Rivers","IrRivsGini","giniIr",-0.0551923205291542,0.0376359373197304,0.143711332618819,-0.0663510698232887,0.0388546063260402,0.103478785187475,19.6119848692524,0.0192466628230012,0.0198941186026138,0.337666581273259,354,461,105,0.00751223911250863,0.014668374783353,0.319384087935886,0.0258945386064029,102,102
"GW Irrig.","GWGini","giniGw",-0.0220843012694926,0.0798016459185648,0.782362311665259,-0.0394468409234872,0.15263830374638,0.808335966777195,4.16786889329929,-0.0907194243042075,0.0755249706365016,0.237354721631173,72,98,40,0.138371123164408,0.171192721355031,0.248846902374496,0.0263888888888889,294,191
"GW Irrig. | Rivers","GWRivsGini","giniGw",-0.0491325562615821,0.108787488080323,0.652129189944122,-0.043769752478101,0.172076708115473,0.809803002352571,4.77561770512487,-0.0932689383389157,0.0761386311602699,0.228430347850531,72,98,40,0.138371123164408,0.171192721355031,0.248846902374496,0.0263888888888889,294,191
