"aq_id","CntrName","isoA","partner","n_partners","e","w","e_mean","w_mean","energy_mag","aligned","E_bin","A_bin","cell"
334,"Mexico","MEX","USA",1,0.0277795641070757,0.279127263366968,0.0277795641070757,0.279127263366968,0.0277795641070757,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
366,"United States","USA","MEX",1,-0.0277795641070757,-0.279127263366968,-0.0277795641070757,-0.279127263366968,0.0277795641070757,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
367,"Mexico","MEX","USA",1,0.0277795641070757,0.279127263366968,0.0277795641070757,0.279127263366968,0.0277795641070757,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
367,"United States","USA","MEX",1,-0.0277795641070757,-0.279127263366968,-0.0277795641070757,-0.279127263366968,0.0277795641070757,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
323,"Mexico","MEX","USA",1,0.0277795641070757,0.279127263366968,0.0277795641070757,0.279127263366968,0.0277795641070757,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
323,"United States","USA","MEX",1,-0.0277795641070757,-0.279127263366968,-0.0277795641070757,-0.279127263366968,0.0277795641070757,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
320,"United States","USA","MEX",1,-0.0277795641070757,-0.279127263366968,-0.0277795641070757,-0.279127263366968,0.0277795641070757,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
318,"United States","USA","MEX",1,-0.0277795641070757,-0.279127263366968,-0.0277795641070757,-0.279127263366968,0.0277795641070757,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
257,"Peru","PER","ECU",1,0.484245985961279,-0.9312045156229,0.484245985961279,-0.9312045156229,0.484245985961279,FALSE,"High energy asym.","Misaligned","High energy asym. x Misaligned"
256,"Peru","PER","ECU",1,0.484245985961279,-0.9312045156229,0.484245985961279,-0.9312045156229,0.484245985961279,FALSE,"High energy asym.","Misaligned","High energy asym. x Misaligned"
255,"Bolivia","BOL","PER",1,-0.332439973093275,-1.94210347205207,-0.332439973093275,-1.94210347205207,0.332439973093275,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
255,"Peru","PER","BOL",1,0.332439973093275,1.94210347205207,0.332439973093275,1.94210347205207,0.332439973093275,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
259,"Brazil","BRA","PRY",1,-0.0194180858571016,0.87076065987568,-0.0194180858571016,0.87076065987568,0.0194180858571016,FALSE,"Low energy asym.","Misaligned","Low energy asym. x Misaligned"
281,"Argentina","ARG","URY",1,-0.310154928303839,-0.134688599425117,-0.310154928303839,-0.134688599425117,0.310154928303839,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
290,"Argentina","ARG","URY",1,-0.310154928303839,-0.134688599425117,-0.310154928303839,-0.134688599425117,0.310154928303839,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
61,"Argentina","ARG","BOL",2,0.437800488751101,0.93895351094517,0.246944977701072,0.650227097109681,0.437800488751101,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
200,"China","CHN","RUS",1,0.486810747562117,2.17776630563608,0.486810747562117,2.17776630563608,0.486810747562117,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
201,"China","CHN","RUS",1,0.486810747562117,2.17776630563608,0.486810747562117,2.17776630563608,0.486810747562117,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
121,"Turkey","TUR","IRQ",1,0.84495319342795,0.716251235854646,0.84495319342795,0.716251235854646,0.84495319342795,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
200,"Russia","RUS","CHN",1,-0.486810747562117,-2.17776630563608,-0.486810747562117,-2.17776630563608,0.486810747562117,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
201,"Russia","RUS","CHN",1,-0.486810747562117,-2.17776630563608,-0.486810747562117,-2.17776630563608,0.486810747562117,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
119,"Turkey","TUR","IRQ",1,0.84495319342795,0.716251235854646,0.84495319342795,0.716251235854646,0.84495319342795,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
142,"Turkmenistan","TKM","IRN",1,-0.321583624127462,-1.93203741484709,-0.321583624127462,-1.93203741484709,0.321583624127462,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
87,"Albania","ALB","MNE",1,0.159064694629687,1.29450249521735,0.159064694629687,1.29450249521735,0.159064694629687,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
87,"Montenegro","MNE","ALB",1,-0.159064694629688,-1.29450249521735,-0.159064694629688,-1.29450249521735,0.159064694629688,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
78,"Greece","GRC","MKD",2,0.327422401101295,0.778874646444828,0.225860058889436,-0.0109969157371155,0.327422401101295,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
83,"Greece","GRC","MKD",1,0.327422401101295,0.778874646444828,0.327422401101295,0.778874646444828,0.327422401101295,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
83,"Macedonia","MKD","GRC",1,-0.327422401101295,-0.778874646444828,-0.327422401101295,-0.778874646444828,0.327422401101295,TRUE,"High energy asym.","Aligned","High energy asym. x Aligned"
417,"Albania","ALB","MNE",1,0.159064694629687,1.29450249521735,0.159064694629687,1.29450249521735,0.159064694629687,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
417,"Montenegro","MNE","ALB",1,-0.159064694629688,-1.29450249521735,-0.159064694629688,-1.29450249521735,0.159064694629688,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
369,"Spain","ESP","PRT",1,-0.200670695462151,0.184086525669469,-0.200670695462151,0.184086525669469,0.200670695462151,FALSE,"High energy asym.","Misaligned","High energy asym. x Misaligned"
369,"Portugal","PRT","ESP",1,0.200670695462151,-0.184086525669469,0.200670695462151,-0.184086525669469,0.200670695462151,FALSE,"High energy asym.","Misaligned","High energy asym. x Misaligned"
376,"Austria","AUT","DEU",1,-0.146982190348646,-0.0306938437906027,-0.146982190348646,-0.0306938437906027,0.146982190348646,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
376,"Germany","DEU","AUT",1,0.146982190348646,0.0306938437906027,0.146982190348646,0.0306938437906027,0.146982190348646,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
393,"Hungary","HUN","SVK",1,-0.112117298120706,-0.0285173887545444,-0.112117298120706,-0.0285173887545444,0.112117298120706,TRUE,"Low energy asym.","Aligned","Low energy asym. x Aligned"
