aq_id,IGRAC_Code,AquiferName,CountryName,CountryCode,Region,lat_c,lon_c,RDS_mainDist,CSI,G_CSI,NearRiverBorder,Irrig,GWIrrig,IrrigNeed,Overdraft,OverIR6,G_Irrig,G_IrrigGW,gini_gwpct_gt0
208,C001,Soconusco-Suchiate / Coatán,Guatemala,GTM,AMER,14.980629022674,-92.0272810650868,0.00146277122616417,8718.89367747286,0.114769189527342,TRUE,0.000498415769934594,0,0.00872329469203972,0.000205988746436979,0,-0.490289032024771,NA,-0.490289032024771
208,C001,Soconusco-Suchiate / Coatán,Mexico,MEX,AMER,14.9718972046853,-92.3370952376125,0.115854511137955,7612.63851358274,-0.000424225710845327,TRUE,0.00629296234251957,0.00290475997855143,0.0618353563035031,0.00414308424472003,0,-0.0880113921975016,0.67976423780382,-0.0880113921975016
207,C002,Chicomuselo-Cuilco / Selegua,Guatemala,GTM,AMER,15.3328335961545,-91.7937656011791,0,7953.89679198377,0.0890984121059509,TRUE,0,0,8.09639802270602e-05,0,0,0.305172300025132,NA,0.336527325437202
207,C002,Chicomuselo-Cuilco / Selegua,Mexico,MEX,AMER,15.6543538895159,-92.3300491230929,0.234705997314363,4960.0423139637,0.068176825640462,TRUE,0.000937316289881933,0,0.00686438120145198,0.000937316289881933,0,-0.502457425852513,NA,-0.502457425852513
206,C003,Ocosingo-Usumacinta-Pocóm-Ixcán,Guatemala,GTM,AMER,16.3266084888598,-91.0862748793346,29.0790195033251,7254.84751721272,0.571830789927578,TRUE,0,0,5.1565070087942e-07,0,0,NA,NA,NA
206,C003,Ocosingo-Usumacinta-Pocóm-Ixcán,Mexico,MEX,AMER,16.6505949986772,-91.4725578151227,8.72386461087116,6930.28468200307,-0.699487910483628,TRUE,0,0,0,0,0,-0.824999107002707,NA,-0.861263840220613
205,C004,Márquez de Comillas-Chixoy / Xaclbal,Guatemala,GTM,AMER,15.5056716907571,-90.7853261647084,4.70079761465381,7982.39506621935,0.56479805987024,TRUE,2.28079103769564e-05,0,0.000304148206576595,0,0,0.793978067491688,NA,0.865245184434761
205,C004,Márquez de Comillas-Chixoy / Xaclbal,Mexico,MEX,AMER,16.2646029053081,-90.6461663575213,1.95924591281302,9979.21290936305,-0.0182210266202805,TRUE,0,0,0,0,0,NA,NA,NA
288,C005,Boca del Cerro-San Pedro,Guatemala,GTM,AMER,17.3461959735053,-90.3242914172985,20.0589330749691,7054.28004906147,0.461337111355675,TRUE,0,0,1.12422829127786e-06,0,0,NA,NA,NA
288,C005,Boca del Cerro-San Pedro,Mexico,MEX,AMER,17.7871580993898,-90.6825903118426,14.2129434589523,3150.67801342662,0.643122628023969,TRUE,0,0,0,0,0,0.219669227666183,-0.564168881870203,0.219669227666183
204,C006,Trinitaria-Nentón,Guatemala,GTM,AMER,15.7539027405431,-91.6803916693226,0,6766.85725502236,-0.170696868183536,FALSE,8.68646421222972e-05,0,0.00246757675625319,0,0,-0.882374955766964,NA,NA
204,C006,Trinitaria-Nentón,Mexico,MEX,AMER,16.1802520934941,-92.251345226047,0,6986.06499197914,-0.879742630660298,FALSE,0.033749847549346,0,0.0716418477838595,0.0336842940958222,0,-0.0388270510433992,NA,-0.061237727658946
365,C007,Península de Yucatán-Candelaria-Hondo,Belize,BLZ,AMER,17.8536986791151,-88.8805750105973,0,8311.05874073251,0.21303473464102,TRUE,0.000784488567033974,0.000767528767436966,0.00577864606994028,0.000636182986276287,0,-0.775572641899332,-0.755491284778664,-0.755491284778664
365,C007,Península de Yucatán-Candelaria-Hondo,Guatemala,GTM,AMER,17.5730214167664,-89.4712014894409,14.4073801209325,8525.01232195827,-0.58905287880322,TRUE,0,0,0,0,0,NA,NA,NA
365,C007,Península de Yucatán-Candelaria-Hondo,Mexico,MEX,AMER,19.6361062454226,-89.2712076141065,13.3611097863327,4278.91712847754,-0.953003279049239,TRUE,0.00018662531411065,0.000152110951505046,0.000764928797154851,0.000153602282956924,0,0.0233950288118432,0.102802362376799,0.0485812730374929
362,C008,Mopán-Belice,Belize,BLZ,AMER,17.0449035535797,-88.9659306844538,0.178649331468216,8421.13245920318,0.0122434751440818,TRUE,0,0,0,0,0,NA,NA,NA
362,C008,Mopán-Belice,Guatemala,GTM,AMER,16.9774063989065,-89.3898481710115,7.9092940475344,8202.92714231091,-0.785438439250157,TRUE,0,0,0,0,0,NA,NA,NA
361,C009,Pusila-Moho,Belize,BLZ,AMER,16.1989345741288,-89.0592042694851,0.568837072767554,9695.90970945887,0.3588017742505,FALSE,0,0,0,0,0,NA,NA,NA
361,C009,Pusila-Moho,Guatemala,GTM,AMER,16.1431736421063,-89.3066171301276,2.94166847496729,9487.3603776841,0.149936329497959,FALSE,0,0,0,0,0,NA,NA,NA
364,C010,Sarstún,Belize,BLZ,AMER,15.9336887420153,-89.0951308685999,0,7797.87097342328,0.901776244783808,FALSE,0,0,0,0,0,-0.207282052855398,NA,-0.207282052855398
364,C010,Sarstún,Guatemala,GTM,AMER,15.8063363482445,-89.4211516975559,2.5281953772009,9155.76914381643,-0.0667751284226741,FALSE,0,0,0,0,0,-0.269418242633369,NA,-0.269418242633369
363,C011,Temash,Belize,BLZ,AMER,16.0234734765424,-89.0749119007923,0,9090.90819592322,-0.299837398444795,FALSE,0,0,0,0,0,NA,NA,NA
363,C011,Temash,Guatemala,GTM,AMER,16.0161442571899,-89.2699966500802,0.36869333749119,9992.58330884514,0.949290662586687,FALSE,0,0,0,0,0,NA,NA,NA
57,C012,Delta del Río Motagua,Guatemala,GTM,AMER,15.0193608621275,-89.8332595083028,1.24032864967323,8920.80281541755,-0.671344414155007,TRUE,0.000397407520082063,3.36121581927861e-08,0.00818312118901225,0.000266805025751627,0,-0.290609631696438,-0.251374922528995,-0.349862796031954
