"hyp","cell","n_treat","estimable","total","n_requested","n_failed","n_sig","n_pos_sig","n_neg_sig","share_sig","share_pos_sig","share_neg_sig","n_int_sig","n_int_pos_sig","n_int_neg_sig","mean_eff","med_eff","q05_eff","q95_eff"
"H1","High energy asym. x Aligned",35,TRUE,100,100,0,10,10,0,0.1,0.1,0,100,100,0,0.00818666600172889,0.0065254919539972,-0.0010462625080522,0.0236543307840434
"H1","High energy asym. x Misaligned",35,TRUE,100,100,0,0,0,0,0,0,0,100,100,0,0.000313455011514243,0.000399932556277796,-0.00425476515300917,0.00392359208472839
"H1","Low energy asym. x Aligned",32,TRUE,100,100,0,25,0,25,0.25,0,0.25,100,100,0,-0.01236675558689,-0.0131590862408353,-0.019676746288185,-0.00233084152692495
"H1","Low energy asym. x Misaligned",40,TRUE,100,100,0,0,0,0,0,0,0,99,99,0,-0.00215174181745927,-0.0016790804659256,-0.0061983064873454,0.000636667087386174
"H2","High energy asym. x Aligned",12,TRUE,100,100,0,72,0,72,0.72,0,0.72,30,30,0,-0.548525732697991,-0.59265651990972,-0.872399296788852,-0.158170791041071
"H2","High energy asym. x Misaligned",10,TRUE,100,100,0,64,4,60,0.64,0.04,0.6,8,8,0,-0.595465271282215,-0.706363809294375,-1.13462912088284,0.202648051775883
"H2","Low energy asym. x Aligned",10,TRUE,100,100,0,100,0,100,1,0,1,4,4,0,-0.991506732300456,-1.05311815829653,-1.30677505379088,-0.566816002975372
"H2","Low energy asym. x Misaligned",39,TRUE,100,100,0,29,0,29,0.29,0,0.29,13,13,0,-0.141354263592186,-0.134960619205837,-0.34982717691496,0.0208342248605747
